INAME	GENE	CHR	SIMR_UP2_190FR	SIMR_UP2_244
YIL138C	TPM2	9	0.95	0.8
iDx706I		0	0.84	
YOR261C	RPN8	15	0.96	0.94
YNL286W	CUS2	14	0.46	2.16
iLx218I		0	1.05	0.66
YOR327C	SNC2	15	0.79	1.07
iNx401I		0	1.55	0.46
YJR112W	NNF1	10	1.27	0.72
iEx089I		0	0.84	0.81
YHR198C		8	0.34	2.23
iKx195I		0	1.39	0.54
iGx272I		0	0.33	3.01
iGx338I		0	1.54	0.65
YIL072W	HOP1	9	0.58	1.26
iMx444I				2.27
iGx004I		0	0.95	0.99
YNR036C		14	1.37	0.51
YJR113C		10	1.27	0.76
iMx110I		0	1.27	0.84
YNL019C		14	1.81	0.67
iBx392I		0	1.51	0.64
YPL202C		16	0.78	0.92
YDL192W	ARF1	4	1.81	0.59
YIL073C	SPO22	9	0.77	1.34
iLx487I		0	1.04	
iFx047I		0	1.24	0.56
iDx641I		0	0.45	2.06
iBx124I		0	0.17	4.62
YDR275W		4	0.9	1.5
iHx230I		8	1.3	0.82
iPx076I		0	0.49	1.33
iLx153I		0	0.4	2.17
YIL139C	REV7	9	0.52	1.54
iDx707I		0	1.17	0.57
YNL287W	SEC21	14	1.02	0.94
YDR007W	TRP1	4	1.5	0.69
iLx219I		0	1.41	0.52
YJL030W	MAD2	10	0.7	1.21
iNx402I		0	1.02	0.78
YDR276C		4	1.09	1
YHR199C		8	0.74	0.94
iKx196I		0	1.29	
iGx273I		0	0.44	1.61
iGx339I		0	1.59	0.47
YDR008C		4	1.5	0.81
YJL031C	BET4	10	0.33	2.29
iMx445I		0	1.16	0.69
iGx005I		0	0.86	1.03
YMR079W	SEC14	13	0.61	1.41
YNR037C		14	1.47	0.53
iMx111I		0	1.48	0.48
YOR262W		15	2.08	0.51
iBx393I		0	0.71	1.9
YOR328W	PDR10	15	0.61	
YDL193W		4	1.41	0.89
YIL074C	SER33	9	1.19	0.74
iBx125I				1.19
iDx642I		4	0.42	2.01
iLx488I		0	0.78	0.85
iFx048I		0	1.71	0.42
iPx077I		0	1.47	
iLx154I		0	0.62	1.36
iHx231I		0	1.56	
iDx708I		0	1.23	0.71
YOR263C		15	1.85	0.44
YNL288W		14	2.34	0.33
YOR329C	SCD5	15	0.45	2
iNx403I		0	0.64	1.33
YJR114W		10	1.14	
YDR277C	MTH1	4	1.19	
iKx197I		0	1.13	0.86
iGx274I		0	0.36	2.97
YPL203W	PKA3	16	0.57	1.15
iMx380I		0	1.01	1.12
iMx446I		0	0.79	1.1
iGx006I		0	1.23	1.02
iMx112I		0	0.92	1.21
iBx394I		0	1.44	0.6
iBx060I		0	0.68	1.31
YDL194W	SNF3	4	1.3	0.79
YIL075C	RPN2	9	0.53	1.2
iLx489I		0	0.99	1.29
iFx049I		0	0.26	3.62
iDx643I		0	0.4	2.09
iBx126I		0	0.17	4.19
iPx078I		0	1.06	0.89
iLx155I		0	0.81	1.26
iHx232I		0	0.8	
iDx709I		0	1.18	0.78
YNL289W	PCL1	14	2.3	
YDR009W	GAL3	4	1.15	0.98
YJL032W		10	0.26	2.66
iNx404I		0	0.61	1.63
YNR038W	DBP6	14	0.57	1.6
YJR115W		10	1.77	0.61
iKx198I		0	1.91	0.34
iGx275I		0	0.97	1.21
YPL204W	HRR25	16	1.06	
iMx381I		0	2.48	0.36
iMx447I		0	1.67	0.49
iGx007I		0	1.22	0.99
YNR039C		14	0.63	1.4
iMx113I		0	0.45	1.66
YOR264W		15	1.31	0.71
iBx395I		0	1.26	0.65
YPL205C		16	2.1	0.55
iBx061I		0	1.13	0.75
YDL195W	SEC31	4	1.37	0.67
iLx090I		0	0.19	4.71
iDx644I		0	1.5	0.61
iBx127I		0	0.54	1.74
iPx079I		0	1.98	
iLx156I		0	1.1	0.74
iHx233I		0	0.81	0.99
iDx310I		0	1.89	0.54
YJR050W	ISY1	10	1.86	0.61
YJL033W	HCA4	10	0.4	1.74
iNx405I		0	0.24	2.75
YJR116W		10	2.06	0.5
iGx276I		0	1.3	0.77
iKx199I		11	1.74	0.38
YER170W	ADK2	5	1.34	0.54
iMx382I		0	0.98	0.86
YFL013W-A		6	1.72	0.61
YIL076W	SEC28	9	0.32	2.17
iMx448I		0	1.38	0.55
iGx008I		0	1.3	0.79
YPL140C	MKK2	16	1.39	0.75
iMx114I		0	0.47	1.9
YOR265W	RBL2	15	1.07	0.88
iBx396I		0	0.29	3.66
YPL206C		16	2.03	0.51
iBx062I		0	0.75	1.27
YDL196W		4	1.26	0.34
iLx091I		0	0.52	1.64
YIL077C		9	0.76	1.48
iDx645I		0	1.88	0.44
iBx128I		0	0.58	1.47
YDR279W		4	2.03	0.62
iLx157I		0	2.29	0.33
iHx234I		0	0.44	1.86
iDx311I		0	1.19	0.61
iNx340I		0	0.45	1.72
YJR051W	OSM1	10	1.91	0.64
YJL034W				0.59
iNx406I		0	1.68	0.44
YJR117W	STE24	10	0.89	1.2
YDL197C	ASF2	4	1.84	0.41
YLR300W	EXG1	12	1.57	0.54
iGx277I		0	1.43	0.47
iCx020I		0	0.76	1.03
iMx383I		0	1.53	0.45
YER171W	RAD3	5	0.34	3.56
YJL035C	TAD2	10	1.71	0.46
iMx449I		0	0.87	0.95
iGx009I		0	1.48	0.54
YJR118C	ILM1	10	0.51	2.01
YPL141C		16	0.76	1.29
iMx115I		0	1.84	0.44
YOR266W	PNT1	15	0.48	2.5
iBx397I		0	1.04	0.9
iDx580I		0	0.5	2.66
iBx063I		0	1.26	0.77
YER172C	BRR2	5	0.65	1.06
iLx092I		0	0.57	1.44
iDx646I		0	0.75	1.34
iBx129I		0	0.35	2.5
iLx158I		0	2.07	0.34
iHx235I		0	1.3	0.69
iDx312I		0	0.4	2.28
YOR267C		15	0.64	0.91
iNx341I		0	0.33	2.63
YJR052W	RAD7	10	1.74	0.68
YKR010C	TOF2	11	0.38	2.69
iNx407I		0	0.73	0.98
YDL198C	YHM1	4	1.8	0.46
YLR301W		12	0.76	1.03
iGx278I		0	1.01	0.87
YPL207W		16	1.76	0.81
iMx384I		0	1.52	0.83
iCx021I		0	1.18	0.8
YIL078W	THS1	9	0.91	1.02
iMx050I		13	2.02	0.41
YJR119C		10	0.94	0.93
iMx116I		0	1.86	0.46
YLR302C		12	0.64	1.2
iBx398I		0	1.53	0.59
iDx581I		0	0.71	1.25
iBx064I		0	0.21	4.51
iLx093I		0	1.43	0.47
iHx170I		0	0.69	0.91
YIL079C		9	1.19	0.73
iDx647I		0	0.53	1.58
iLx159I		0	0.24	4.24
iHx236I		0	0.79	1.18
iDx313I		0	1.46	0.63
YOR268C		15	1.71	0.48
iNx342I		0	0.25	2.78
YJR053W	BFA1	10	1.93	0.53
YJL036W	SNX4	10	2.05	0.47
YKR011C		11	1.1	1
iNx408I		0	1.25	0.76
YDL199C		4	1.08	0.74
iGx279I		0	0.14	6.47
YPL208W		16	2.4	0.42
iMx385I		0	0.59	1.74
iCx022I		0	1.14	0.69
YER173W	RAD24	5	2.17	0.5
iMx051I		0	2.03	0.44
iMx117I		0	0.67	
iBx399I		0	1.07	
iOx300I		0	0.61	1.6
YPL209C	IPL1	16	2.8	0.43
iDx582I		0	1.15	0.75
iBx065I		0	1.12	0.71
YER174C	GRX4	5	1.52	0.73
iHx171I				0.79
iLx094I		0	1.71	
iDx648I		0	1.46	0.49
iHx237I		0	1.82	0.41
iDx314I		0	1.01	0.96
iNx343I		0	0.15	3.58
YJR054W		10	1.23	0.87
YKR012C		11	1.11	1.03
YJL037W		10	2.06	0.36
YPR160W	GPH1	16	0.47	1.4
YPL143W	RPL33A	16	0.87	0.91
YLR303W	MET17	12	0.41	1.88
iMx386I		0	1.88	0.39
iCx023I		0	0.22	3.6
iMx052I		0	0.64	1.5
YJL038C		10	1.87	0.41
YPR161C	SGV1	16	0.61	1.33
iMx118I		0	1.16	0.66
YOR269W	PAC1	15	0.43	1.95
YLR304C	ACO1	12	0.93	1.19
iOx301I		0	1.96	0.4
iDx583I		0	1.91	0.35
iBx066I		0	1.62	0.57
YER175C		5	2.62	0.38
iLx095I		0	1.12	
iHx172I		0	1.45	0.9
iDx649I		0	1.67	0.5
iHx238I		0	2.05	
iDx315I		0	1.45	0.54
YER087C-A	SBH1	5	0.55	2.22
iNx344I		0	0.6	1.3
YJR055W	HIT1	10	0.51	1.7
iNx010I		0	1.47	0.82
YPL144W	SNR17B	16	2.17	0.43
iMx387I				0.42
iCx024I		0	0.63	1.12
YJR056C		10	1.21	0.77
iOx570I		0	1.45	0.63
iMx053I		0	0.41	1.94
iIx130I		0	1.27	0.53
YJL039C	NUP192	10	0.53	1.14
YPR162C	ORC4	16	1.68	0.64
YPL145C	KES1	16	2.06	0.64
iMx119I		0	0.98	0.93
YLR305C	STT4	12	0.85	
iOx302I		0	1.23	0.74
YKR013W	PRY2	11	1.07	1.2
iBx067I		0	0.63	1.64
iDx250I		4	0.2	
iLx096I		0	0.92	
iHx173I		0	1.91	0.44
iHx239I		0	2.52	0.39
iDx316I		0	2.19	0.35
YBR210W		2	1	0.58
iNx345I		0	0.22	3.86
YKR014C	YPT52	11	1.19	0.91
iNx011I		0	1.63	0.49
YFL051C		6	1.48	0.66
iMx388I		0	0.93	1.16
iCx025I		0	0.28	3.56
YER176W	ECM32	5	2.17	0.46
YBR211C	AME1	2	2.03	0.47
YPL080C				0.6
iOx571I		0	1.86	0.4
iMx054I		0	0.38	1.84
iIx131I		0	1.34	0.6
YPR163C	TIF3	16	1.82	0.4
YPL146C		16	0.65	1.32
iOx303I		0	2.1	0.36
iBx068I		0	0.44	2.34
iLx097I		0	1.19	0.78
iHx174I		0	1.78	0.41
iDx251I		0	0.18	3.57
iNx280I		0	1.14	0.75
iDx317I		0	1.37	0.68
iNx346I		0	1.18	0.68
YJR057W	CDC8	10	1.93	0.45
YKR015C		11	1.12	0.96
iNx012I		0	2.15	0.32
YLR240W	VPS34	12	1.55	0.58
YLR306W	UBC12	12	1.91	0.51
iMx389I		0	0.48	1.71
iCx026I		0	0.77	0.98
YER177W	BMH1	5	1.61	0.74
YJR058C	APS2	10	1.98	0.39
iOx572I		0	1.08	1.14
iMx055I		0	0.26	2.8
iIx132I		0	0.95	0.99
iOx304I		0	1.29	0.58
YJR094W-A	RPL43B	10	1.63	0.43
iDx586I		0	1.31	0.58
iBx069I		0	1.6	0.48
iLx098I		0	1.45	0.66
iHx175I		0	1.84	0.57
iDx252I		0	0.61	1.42
iNx281I		0	1.03	
iDx318I		0	1.54	0.52
YFL052W		6	1.81	0.51
YBR212W	NGR1	2	1.66	0.56
iNx347I		0	0.8	0.82
iPx530I		0	1.13	1.36
iNx013I		0	1.89	0.44
YPR164W	KIM3	16	0.83	
YLR241W		12	0.74	1.26
YPL147W	PXA1	16	0.71	1.42
YLR307W	CDA1	12	0.77	1.36
iCx027I		0	0.66	1.15
YER178W	PDA1	5	0.84	1.19
YPL082C	MOT1	16	0.79	
iOx573I		0	0.61	1.35
iMx056I		0	0.22	3.74
iIx133I		0	1.83	0.42
iEx210I		0	1.68	0.53
YLR242C	ARV1	12	0.5	1.71
YPL148C	PPT2	16	1.08	1.01
YGL010W		7	0.43	2.89
iOx305I		0	2.02	0.48
YKR016W		11	0.5	1.86
iDx587I		0	1.89	0.38
iLx099I		0	1.72	
iHx176I		0	1.77	0.38
iDx253I		0	0.52	1.72
iNx282I		14	1.01	0.86
iDx319I		0	0.94	
YFL053W	DAK2	6	1.81	0.49
YBR213W	MET8	2	1.79	0.44
YGL011C	SCL1	7	0.38	3.02
iNx348I		0	0.25	3.12
YJR059W	PTK2	10	1.82	0.48
YKR017C		11	0.35	2.65
iPx531I		0	2.14	0.46
iNx014I		0	0.64	1.97
YPR165W	RHO1	16	1.19	0.78
YLR308W	CDA2	12	0.7	
YFL054C		6	0.79	1.08
iCx028I		0	0.48	1.79
YER179W	DMC1	5	0.4	2.05
YPL083C	SEN54	16	0.37	2.81
iOx574I		0	0.51	1.58
iMx057I		0	1	0.76
iIx134I		0	2	0.4
iEx211I		0	1.46	0.42
YPR166C	MRP2	16	0.82	1.16
iOx240I		15	1.1	
YLR309C	IMH1	12	1.03	0.95
iOx306I		0	1.92	0.42
iDx588I		0	1.67	0.6
YMR200W	ROT1	13	0.83	0.96
YER019C-A	SBH2	5	1.24	
iHx177I		0	1	1.01
iDx254I		0	0.3	3
iNx283I		0	0.94	0.83
iJx360I		0	2.13	0.45
YBR214W	SDS24	2	0.77	0.96
iNx349I		0	1.93	0.46
YKR018C		11	0.99	1.03
iNx015I		0	1.12	0.75
YLR243W		12	0.77	
YMR201C	RAD14	13	0.81	1.19
YPL149W	APG5	16	0.9	1.11
iCx029I		0	0.43	2.41
iOx575I		0	1.01	0.8
iMx058I		0	1.44	0.57
iIx135I		0	2.23	0.47
iEx212I		0	0.76	1.05
YPR167C	MET16	16	1.25	0.72
YLR244C	MAP1	12	0.7	1.55
iOx241I		0	1.74	0.44
YGL012W	ERG4	7	0.5	2.73
iOx307I		0	1.88	0.46
iDx589I		0	0.79	1.1
iHx178I		0	0.72	0.95
iDx255I		0	0.19	4.33
iNx284I		0	0.41	2.25
iJx361I		0	1.58	0.53
YFL055W	AGP3	6	1.41	0.65
YGR030C	POP6	7	1.4	0.69
YBR215W	HPC2	2	0.37	1.91
YGL013C	PDR1	7	0.35	2.99
YPL084W	BRO1	16	0.46	2.19
YKR019C	IRS4	11	1.77	0.56
iNx016I				0.35
YBR150C	TBS1	2	0.97	
iIx070I		0	0.39	2.97
YFL056C	AAD6	6	0.92	0.89
YBR216C		2	0.47	1.48
iOx576I		0	1.93	0.55
iMx059I		0	1.34	0.57
iIx136I		0	1.57	0.53
iEx213I		0	0.44	2.15
YLR245C	CDD1	12	1.22	0.75
iOx242I		0	0.98	1.05
iOx308I		0	2.08	0.32
iDx190I		0	1.84	0.47
YMR202W	ERG2	13	1.16	0.66
iHx179I		0	2.42	0.49
iDx256I		0	0.25	2.76
iNx285I		0	1.92	0.48
iJx362I		0	1.31	0.72
YPL085W	SEC16	16	0.86	
YML120C	NDI1	13	1.62	0.53
iNx017I		0	1.13	0.71
YPR168W	NUT2	16	1.6	0.67
iPx200I		0	0.38	2.84
iIx071I		0	1.65	0.42
YFL057C		6	0.91	
YPL086C	ELP3	16	1.73	0.53
iOx577I		0	2.34	0.39
iIx137I		0	0.2	3.34
iEx214I		0	0.58	1.27
YGR031W		7	1.7	0.55
iOx243I		0	0.31	2.06
iKx320I		0	1.25	0.59
YGL014W		7	0.64	
iOx309I		0	2.09	0.46
iDx191I		0	0.82	1.08
YMR203W	TOM40	13	0.28	2.43
YMR031W-A		13	1.35	0.65
iDx257I				0.65
YBR151W	APD1	2	1.75	0.37
iNx286I		0	1.49	0.62
iJx363I		0	1.62	0.42
YBR217W	APG12	2	0.66	1.29
YGL015C		7	0.95	0.94
YLR180W	SAM1	12	0.99	0.91
YDR400W		4	0.87	1.63
iNx018I		0	2.28	0.61
YPR169W		16	1.5	0.68
YLR246W	ERF2	12	0.64	1.68
YMR204C		13	0.25	2.57
iPx201I		0	1.38	0.52
iIx072I		0	0.44	1.51
YLR181C		12	1.09	1.08
YBR218C	PYC2	2	1.43	1.03
iOx578I		0	1.74	0.39
iIx138I		0	1.71	0.43
iEx215I		0	1.2	0.64
YLR247C		12	0.87	
YGR032W	GSC2	7	0.65	1.65
iOx244I		0	0.29	3.83
iKx321I		0	0.83	
YML121W	GTR1	13	1.46	0.78
iDx192I		0	1.12	0.6
iDx258I		0	1	0.89
YBR152W	SPP381	2	1.5	0.51
iNx287I		0	0.82	1.07
iJx364I		0	0.29	3.74
YFL058W	THI5	6	0.84	1.27
YGR033C		7	0.3	2.63
iPx470I		0	0.53	1.6
iJx030I		0	1.76	0.42
YPL087W	YDC1	16	1.34	0.71
YML122C		13	1.84	0.4
YDR401W		4	0.77	2
iNx019I		0	0.9	1.09
YMR205C	PFK2	13	1.16	0.72
iPx202I		0	2.44	0.36
YBL070C		2	1.67	0.49
iIx073I		0	1.35	0.59
iEx150I		0	0.28	3.27
YBR219C				0.4
iOx579I		0	1.38	0.51
iIx139I		0	1.13	1.08
iEx216I		0	1.32	0.41
YDR402C	DIT2	4	0.79	1.62
iKx322I		11	1	0.91
iOx245I		0	0.77	0.9
YGL016W	KAP122	7	1.33	0.73
iDx193I		0	0.24	4.07
iDx259I		0	1.16	0.59
YBR153W	RIB7	2	0.98	0.85
iNx288I		0	0.37	1.91
iJx365I		0	0.4	2.02
YFL059W	SNZ3	6	1.49	0.68
iPx471I		0	0.75	1.16
iJx031I		0	0.75	1.52
YLR182W	SWI6	12	1.02	1.11
YPL088W		16	2.27	0.39
YML123C	PHO84	13	2.41	0.49
YLR248W	RCK2	12	3.25	0.37
iPx203I				0.41
YBL071C		2	1.61	
YBR154C	RPB5	2	0.77	0.91
iIx074I				2.3
iEx151I		0	0.17	3.95
YLR183C		12	0.81	1.35
iOx180I		0	0.53	1.92
YPL089C	RLM1	16	1.78	0.58
iEx217I		0	0.38	1.96
iOx246I		0	1.4	0.58
iKx323I		0	1.1	0.7
iGx400I		0	0.88	1.09
YGR034W	RPL26B	7	0.46	2.08
YGL017W	ATE1	7	1.78	0.59
YMR140W		13	0.7	1.19
iDx194I		0	1.02	1.07
YMR206W		13	1	0.84
iNx289I		0	0.96	0.89
iJx366I		0	0.91	0.87
YGR035C		7	0.22	3.92
iPx472I		0	1.74	0.34
iJx032I		0	1.49	0.59
YGL018C	JAC1	7	1.34	0.75
YMR141C		13	0.36	2.49
YML124C	TUB3	13	2.04	0.47
YDR403W	DIT1	4	0.93	1.42
YLR249W	YEF3	12	0.99	1.39
YMR207C	HFA1	13	0.87	
iPx204I		0	1.33	1.06
YBL072C	RPS8A	2	1.47	0.5
iIx075I		0	1.64	0.53
iEx152I		0	0.93	0.87
iOx181I		0	0.55	1.61
iEx218I		0	1.1	0.53
YDR404C	RPB7	4	1.14	1
iOx247I		0	1.99	0.36
iKx324I		0	0.84	1.1
iGx401I		0	0.85	0.97
iDx195I		0	0.7	1.6
YCL030C	HIS4	3	0.91	0.87
YBR155W	CNS1	2	0.69	1.53
iJx367I		0	1.14	0.73
YGR036C	CAX4	7	0.71	1.14
iPx473I		0	2.47	0.3
iLx550I		0	0.37	2.29
iJx033I		0	0.89	0.91
iFx110I		0	0.73	1.48
YLR184W		12	1.47	0.58
YMR142C	RPL13B	13	0.56	1.3
YML125C		13	1.77	0.46
YBR090C		2	1.23	
iPx205I		0	2.05	0.38
YBR156C	SLI15	2	0.83	1.2
iIx076I		0	2.13	0.39
iEx153I		0	1.64	0.55
iOx182I		0	1.32	
iEx219I		5	1.31	0.56
iOx248I		0	1	1.19
iKx325I		0	1.85	0.45
iGx402I		0	0.99	0.72
YGL019W	CKB1	7	1.27	0.78
iDx196I		0	0.57	
YMR208W	ERG12	13	1.6	0.55
YBL073W		2	1.74	0.44
YCL031C	RRP7	3	0.42	1.72
iJx368I		0	2.39	0.37
YGR037C	ACB1	7	0.95	0.84
iPx474I		0	1.09	0.62
iJx034I		0	0.84	0.96
iFx111I		0	1.2	0.88
YLR185W	RPL37A	12	1.24	0.74
iPx140I		0	1.58	0.6
YDR405W	MRP20	4	1.64	0.49
YML126C	HMGS	13	1.02	0.91
YMR209C		13	1.4	0.69
YBR091C	MRS5	2	1.97	0.59
iPx206I		0	1.01	0.92
YBL074C	AAR2	2	2.12	0.38
YBR157C	ICS2	2	1.87	0.51
iIx077I		0	1.75	0.46
iEx154I		0	1.58	0.83
iOx183I		0	1.48	0.73
iKx260I		0	0.27	3.66
iGx403I		7	0.61	1.11
iOx249I		0	0.65	1.42
iKx326I		0	0.29	2.57
YML060W	OGG1	13	0.87	
YMR143W	RPS16A	13	1.09	0.85
iDx197I		0	1.33	0.78
iJx369I		10	1.29	
YML061C	PIF1	13	0.98	0.83
YDR340W		4	0.81	1.92
iPx475I		0	0.64	1.7
iLx552I		0	1.55	0.48
iJx035I		0	1.52	0.7
iFx112I		0	0.44	2.01
YLR186W		12	1.83	0.59
iPx141I		0	1.97	
YDR406W	PDR15	4	0.57	
YBR092C	PHO3	2	2.13	0.5
iPx207I		0	0.21	3.01
YBL075C	SSA3	2	1.08	0.6
iIx078I		0	1.94	0.52
iEx155I		0	1.24	0.65
YDR341C		4	1.65	0.71
iOx184I		0	0.16	4.72
iKx261I		0	0.27	2.7
YCL032W	STE50	3	0.44	1.69
YDR407C	TRS120	4	0.51	1.41
iKx327I		0	0.39	1.38
iGx404I		0	0.75	1.61
YGR038W	ORM1	7	0.75	1.38
YMR144W		13	0.51	1.56
iDx198I		0	1.48	0.54
YML127W		13	1.1	0.81
YCR050C		3	1.2	
YBR158W	ICS4	2	1.67	0.69
YML062C	MFT1	13	0.59	1.41
iPx476I		0	0.62	1.29
iLx553I		0	1.08	
iJx036I		0	0.89	0.95
iFx113I		0	0.4	2
YLR187W		12	1	1.22
YMR145C		13	0.9	1
iPx142I		0	1.18	0.83
YML128C		13	1.96	0.41
YBR093C	PHO5	2	2.33	0.54
iPx208I		0	0.53	2.04
iEx090I		0	0.38	3.13
YBL076C	ILS1	2	0.77	0.87
iIx079I		0	1.04	1.03
iEx156I		0	1.02	0.8
YDR342C	HXT7	4	1.7	0.77
iOx185I		0	0.28	2.76
iKx262I		0	0.7	1.32
YDR408C	ADE8	4	2.33	0.41
iGx405I		7	0.89	1.48
iKx328I		0	1.33	0.59
YGR039W		7	1.45	0.59
YNL020C	ARK1	14	0.84	1.18
iDx199I		0	1.6	0.48
YMR080C	NAM7	13	0.99	0.76
YBR159W		2	1.67	
iPx477I		16	0.53	0.96
iJx037I		0	1.24	0.65
iFx114I		0	1.17	0.7
YLR188W	MDL1	12	0.43	2.61
iLx554I	LSM3	12	1.21	0.64
YMR146C	TIF34	13	2.02	0.33
iPx143I		0	2.27	0.35
iLx220I		0	1.51	0.63
YML129C	COX14	13	1.49	0.5
iPx209I		0	1.95	0.37
iEx091I		0	0.35	2.94
iEx157I		0	0.58	1.75
YDR343C	HXT6	4	1.13	
YLR189C	UGT51	12	0.48	1.59
YCR051W		3	1.67	0.5
iOx186I		0	0.41	1.56
iKx263I		0	0.73	0.96
iGx340I		0	1.23	0.69
YCL034W		3	0.87	0.97
iKx329I		0	0.96	1.07
iGx406I		0	1.49	0.58
YIL140W	SRO4	9	0.71	1.07
YBR094W		2	1.54	0.76
YBL077W		2	0.54	1.71
YCL035C				0.89
YMR081C	ISF1	13	2.14	0.4
YML064C	TEM1	13	0.55	1.66
iPx478I		0	1.11	
iLx555I		0	1.1	0.62
iJx038I		0	0.97	0.7
iFx115I		0	0.91	0.95
iPx144I		0	1.08	0.89
iLx221I		0	0.32	2.86
YOR330C	MIP1	15	1.64	0.46
YDR409W		4	1.28	0.6
YBR095C		2	1.18	0.91
YNL021W	HDA1	14	1.28	0.76
iEx092I		0	1.09	0.69
YBL078C	AUT7	2	0.28	2.61
iEx158I		0	1.68	0.62
YDR344C		4	0.79	0.64
YCR052W	RSC6	3	1.69	0.48
iOx187I		0	0.32	2.65
iKx264I		0	0.24	4.41
iGx341I		0	0.28	2.38
YDR010C		4	1.41	0.76
iGx407I		0	1.77	0.48
YIL141W		9	1.48	0.62
YNL022C		14	2.1	0.53
YMR147W		13	2.57	0.35
iLx490I		0	2.13	0.34
iFx050I		0	1.05	0.83
YMR082C		13	1.8	0.43
iPx479I		0	0.61	1.21
iLx556I		0	0.51	2.1
iJx039I		0	1.91	0.53
iFx116I		0	0.97	0.92
iDx710I		0	0.45	1.91
YNL290W	RFC3	14	2.08	0.38
iPx145I		0	0.88	1.02
iLx222I		0	0.82	0.92
YOR331C		15	1.67	0.43
iEx093I		0	1.3	0.55
iEx159I		0	1.91	0.46
YDR345C	HXT3	4	1.51	0.53
YNL291C	MID1	14	1.32	0.6
YCR053W	THR4	3	0.34	1.49
iOx188I		15	0.39	
iKx265I		0	0.37	2.35
iGx342I		0	1.92	0.36
YCL036W		3	1.34	0.62
iGx408I		0	0.77	1.06
YIL142W	CCT2	9	1.59	0.58
YML065W	ORC1	13	0.75	1.19
YNL023C	FAP1	14	1.03	0.82
YMR148W		13	2.02	0.42
YBR096W		2	2.23	0.46
YCR054C	CTR86	3	0.38	2.34
YBL079W	NUP170	2	0.43	1.14
iLx491I		0	1.34	0.61
iFx051I		0	0.64	1.51
YCL037C	SRO9	3	1.45	
iPx080I		0	2.12	0.36
YML066C		13	1.05	
YIL143C	SSL2	9	1.04	1.08
iLx557I		0	1.16	0.78
iFx117I		0	1.48	0.59
iDx711I		0	1.26	0.59
YDR011W	SNQ2	4	0.54	1.31
iHx300I		8	1.09	0.84
iPx146I		0	1.23	0.65
iLx223I		0	0.17	3.85
YNR040W		14	0.47	0.92
YJL100W		10	2.26	0.45
iEx094I		0	0.33	3.25
YDR346C		4	1.45	0.69
iOx189I		0	0.42	1.63
iKx266I		0	0.45	1.92
iGx343I		0	2.07	0.39
YMR083W	ADH3	13	2.11	0.39
iGx409I		0	0.9	1.26
YNR041C	COQ2	14	1.57	0.42
YNL024C		14	0.73	1.34
YJL101C	GSH1	10	1.1	0.77
YMR149W	SWP1	13	1.64	0.49
YOR332W	VMA4	15	1.47	0.47
YBR097W	VPS15	2	0.81	
iLx492I		0	0.41	1.56
iFx052I		0	0.64	1.27
YCL038C		3	0.42	2.11
YDR280W	RRP45	4	1.09	0.93
iPx081I		0	1.88	0.44
YML067C		13	1.07	0.9
iFx118I		0	1.43	0.84
iLx558I		0	1.42	0.49
iDx712I		0	1.73	0.64
YNL292W	PUS4	14	1.08	0.72
YDR012W	RPL4B	4	0.69	1.12
iHx301I		8	1.41	0.64
iPx147I		0	0.36	2.54
iLx224I		0	0.33	2.32
YOR333C		15	1.11	0.71
iEx095I		0	0.17	3.99
YDR281C		4	0.65	1.94
iKx267I		0	0.23	3.17
iGx344I		0	2.12	0.38
iMx450I		13	0.77	1.21
iGx010I		0	2.07	0.52
YMR084W		13	1.26	0.58
YIL144W	TID3	9	1.04	0.85
YNL025C	SSN8	14	0.81	1.02
YBR098W	MMS4	2	0.62	1.38
iLx493I		0	2.12	0.55
iFx053I		0	0.76	1.26
iBx130I		0	0.38	1.64
iPx082I		0	1.1	
YIL145C		9	2.86	0.33
iLx559I		0	2.13	0.31
iFx119I		0	1.54	0.63
iDx713I		0	1.67	0.54
YDR347W	MRP1	4	0.79	1.28
YNL293W	MSB3	14	1.83	0.41
YDR013W		4	0.57	1.58
iHx302I		8	1.28	0.55
iPx148I		0	1.45	0.65
iLx225I		0	0.68	1.42
YNR042W		14	1.76	0.41
YBR099C		2	0.3	2.67
YJL102W	MEF2	10	1.05	0.77
iEx096I		0	0.5	1.47
YDR282C		4	0.59	1.85
YDR348C		4	0.85	1.28
YNL294C				0.86
iKx268I		0	1.01	1.04
iGx345I		0	2.08	0.28
YCL039W		3	0.42	1.34
iMx451I		0	0.86	0.95
iGx011I		0	0.94	0.93
YMR085W		13	0.9	0.82
YML068W		13	1.08	0.81
YJL103C		10	2.32	0.45
YOR334W	MRS2	15	0.76	1.11
YCR057C	PWP2	3	1.37	0.59
iFx054I		0	0.62	1.17
iLx494I		0	0.36	2.56
iBx131I		0	0.33	3.21
iPx083I		0	2.23	0.41
iLx160I		0	1.95	0.43
YIL146C	ECM37	9	1.39	
iDx714I		0	1.23	0.79
YDR014W		4	0.53	1.69
iPx149I		0	2.09	0.48
iLx226I		0	1.09	0.62
YOR335C	ALA1	15	1.2	0.72
YJR120W		10	1.68	
YNR043W	MVD1	14	1.83	0.47
YNL026W		14	0.48	1.7
YDR283C	GCN2	4	0.82	1.07
iGx280I		0	0.34	2.55
YDR349C	YPS7	4	1.48	0.5
iKx269I		0	0.93	0.96
iGx346I		0	1.84	0.48
YIL080W		9	1.09	1.06
