INAME	GENE	CHR	SIMR_UP2_190FR	SIMR_UP2_244
iHx074I		0	1.85	0.39
iDx151I		0	1.36	0.52
iNx180I		0	1.95	0.39
YOL089C	HAL9	15	0.38	1.72
YKL166C	TPK3	11	0.4	
iDx217I		0	1.59	0.43
iNx246I		0	1.37	0.6
iJx323I		0	1.59	0.56
YLR140W		12	0.97	0.7
iCx194I		0	0.66	1.52
YPR129W	SCD6	16	0.86	
YLR206W	ENT2	12	1.7	0.58
iMx289I		0	1.92	0.57
YFR035C		6	1.72	
YBR112C	CYC8	2	0.82	0.84
iOx472I		0	1.43	
iIx032I		0	2.08	0.41
YGR260W		7	0.59	1.66
YFL018C	LPD1	6	0.61	1.21
YGL243W	TAD1	7	1.13	1.07
iOx538I		0	1.45	0.59
iOx204I		0	1.11	0.69
iDx486I		0	1.65	0.48
YER078C		5	2.09	0.38
iHx075I		8	1.93	0.37
iDx152I		0	1.66	0.49
YGR261C	APL6	7	0.56	1.31
iNx181I		0	1.57	0.54
YKL167C	MRP49	11	1.53	0.71
iDx218I		0	0.91	0.89
iNx247I		0	1.8	0.41
iJx324I		0	1.54	0.64
iPx430I		0	1.12	0.71
YPR064W		16	2.03	0.39
YLR141W	RRN5	12	1.52	0.51
iCx195I		3	0.64	1.43
YPL047W		16	1.78	0.7
YLR207W	HRD3	12	1.35	0.57
YBL030C	PET9	2	1.34	0.67
iOx473I		0	1.7	
iIx033I		0	2.08	0.37
YFL019C		6	0.68	
YGL244W	RTF1	7	1.79	0.54
iOx539I		0	0.87	1.08
iOx205I		0	1.01	0.86
iDx487I		0	0.17	3.72
iHx076I		0	0.66	1.26
iDx153I		0	1.2	0.77
YGR262C		7	1.54	0.57
iNx182I		0	1.13	0.72
YKL168C	KKQ8	11	0.56	1.98
iDx219I		0	0.79	0.93
YBR113W		2	1.85	0.55
iNx248I		0	1.9	0.41
iJx325I		0	0.89	0.75
YFR036W	CDC26	6	1.49	0.69
iPx431I		16	0.99	0.68
YPR065W	ROX1	16	1.02	
YLR142W	PUT1	12	1.24	0.63
iCx196I		3	0.72	1.27
YPL048W	CAM1	16	1.95	0.46
YLR208W	SEC13	12	0.95	0.85
YER079W		5	1.91	0.39
YFR037C	RSC8	6	2.05	0.51
YLL060C	GTT2	12	2	0.49
iOx474I		15	1.27	0.86
iEx111I		5	0.35	1.28
iIx034I		0	0.48	2.05
YGL245W		7	2.09	0.49
iOx140I		0	1.23	0.66
YPL049C	DIG1	16	1.91	0.5
YLR209C		12	0.72	1.1
iOx206I		0	0.74	1.38
iDx488I		0	1.94	0.41
YMR100W	MUB1	13	0.7	1.39
iHx077I		0	0.62	1.16
iDx154I		0	1.14	0.89
YGR263C		7	1.3	0.67
iNx183I		0	1.77	0.6
iJx260I		0	0.65	1.13
YKL169C		11	0.32	2.98
YGL246C	RAI1	7	1.18	0.69
YBL031W	SHE1	2	0.89	1.05
YBR114W	RAD16	2	0.68	1.14
iNx249I				0.57
iJx326I		0	1.38	0.58
iPx432I		0	1.28	0.57
YPR066W	UBA3	16	1.13	0.73
YLR143W		12	0.46	1.82
YMR101C	SRT1	13	0.25	2.77
iCx197I		3	0.55	1.01
YGL180W	APG1	7	1.09	0.88
YBR115C	LYS2	2	0.5	1.15
iOx475I		0	1.16	0.56
iIx035I		0	1.62	0.4
iEx112I		0	0.3	3.3
YLR144C	ACF2	12	0.48	1.68
iOx141I		0	2.14	
YNL310C		14	1.63	0.43
iOx207I		15	0.62	1.31
iDx489I		0	1.74	0.48
iHx078I		0	0.41	1.76
iDx155I		0	1.66	0.37
YGR264C	MES1	7	1.5	0.52
iNx184I		0	1.5	0.55
iJx261I		0	0.71	1.04
YBL032W		2	1.52	0.47
iJx327I		0	2.12	0.48
YLL061W	MMP1	12	1.7	0.74
YFR038W		6	1.36	0.77
iPx433I		16	1.72	0.52
iLx510I		0	1.75	0.84
YPR067W	ISA2	16	0.64	1.3
YMR102C		13	0.6	1.59
iCx198I		3	0.62	1.28
YBR050C	REG2	2	1.23	0.7
