NAME	GENE	CHR	ya1s4p2_109	ya1s4p2_125	ya1s4p2_0115FR	ya1s4p2_0111FR	ya1s4p2_0112
			1.5	1.52	0.19	0.31	6.39
YEL054C	RPL12A		0.13	0.09	15.77	15.42	0.1
YER137C			1.17		0.76	0.52	
YOR166C			0.85	0.81	1.26	1.02	0.85
YHL006C			0.87	1.1	0.92	0.83	0.87
YFL011W	HXT10		0.83		1.31	1.04	1.04
YMR237W			1.2	1	1.03	0.97	1.04
YDL097C	RPN6		1.37	1.19	0.77	0.75	1.75
YLR200W	YKE2		0.81	0.82	1.23	1.1	1.07
YCL060C			1.05	1.3	0.81	0.66	1.22
YMR294W-A			1.77	1.63	0.7	0.72	1.7
YGR066C			1.54		0.53		
YGL049C	TIF4632		0.71	0.61	1.7	1.51	0.66
YKL160W			1.24	1.16	0.94	1.05	1.23
YDR434W			0.74	0.84	1.29	1.45	0.8
YOL083W			3.27	2.63	0.36	0.6	2.23
YPL041C			0.55		1.8		0.53
YHR023W	MYO1		1.1	0.97	0.99	0.91	1.25
YDR100W			1.3	1.4	0.83	0.9	1.28
YLR201C			1.04	0.98	1.02	1.04	1.13
YOL149W	DCP1		0.77	0.66	1.28	1.16	0.82
YNL112W	DBP2		0.3	0.24	4.17	2.93	0.37
YEL055C	POL5		0.52	0.41	2.6	2.29	0.46
YER138C			19	16.16	0.09	0.08	19.33
YDR435C			1.08		0.64	0.69	0.97
YKL161C			0.61	0.56	1.55	1.34	0.76
YOR167C	RPS28A		0.32	0.32	3.99	4.82	0.33
YHR024C	MAS2		1.11	0.48	2.13	1.86	0.61
YDR101C			0.36	0.36	2.89	2.54	0.41
YMR172W	HOT1		1.11	0.87	1.07	1.16	0.87
YHL007C	STE20		0.68	0.45	2	1.63	0.61
YMR238W	DFG5		1.01		1.09	1.07	1.2
YJR018W			1.04	0.92	1.15	1.27	0.77
YDL098C	SNU23		1.05	1.15	0.91	0.97	1.15
YPR124W	CTR1		8.49	8.52	0.16	0.21	5.18
YCL061C							1.05
YPL107W			2.31	2.02	0.45	0.52	2.16
YBR186W	PCH2		0.62	0.51	1.85	1.76	0.58
YGR067C			0.59	0.52	1.71	1.58	0.6
YER072W	NRF1		2.39	2.51	0.49	0.45	3.2
YFL013C			1.36	1.34	0.77	0.68	1.54
YOL084W			2.64	3.71	0.36	0.49	2.26
YMR239C	RNT1		0.89	0.62	1.46	1.47	0.64
YJR019C	TES1		1.35	1.71	0.55	0.72	1.41
YAL058C-A			1.12	0.97	1.07	1.37	0.8
YPL042C	SSN3		1.3	1.12	1.02	1.11	1.08
YLR202C			1.6	1.62	0.74	0.67	1.72
YNL113W	RPC19		0.61	0.63	1.59	1.57	0.72
YDR370C			0.83	0.9	1.07	1	0.92
YER139C			1.47	1.19	0.7	0.78	1.1
YOL085C					0.83	0.82	
YKL162C			0.7	0.52	0.99		
YML090W			1.56	1.36	0.61	0.71	1.36
YDR102C			0.83	1.08	0.75	0.66	1.2
YFR030W	MET10		1.26	1.12	0.99	0.56	2.27
YHL008C					0.94	0.95	
YMR173W	DDR48		2.81	2.98	0.39	0.43	3.46
YNL114C			0.62	0.68	1.32	1.31	0.71
YPR125W			0.86	0.77	1.31	1.06	1.07
YPL108W			0.79	0.8	1.24	1.24	0.88
YBR187W			0.63	0.6	1.77	2.02	0.59
YGR068C			0.94	1.09	1.05	0.79	1.14
YCR024C-A	PMP1		1.25	0.98	1.63	1.55	1.41
YML091C	RPM2		1.34	1.11	1.08	0.83	1.4
YER073W	ALD5		0.49	0.32	2.78	1.8	0.42
YMR174C	PAI3		5.3	7.81	0.17	0.36	5.12
YFR031C	SMC2		1.4	1.14	0.92	0.94	1.02
YEL056W	HAT2		0.77	0.77	1.57	1.71	0.66
YPR060C	ARO7		0.44	0.47	2.34	2.27	0.46
YDR436W	PPZ2		1.97	1.87	0.6	0.67	1.6
YOR168W	GLN4		0.41	0.43	2.6	2.37	0.4
YHR025W	THR1		1.03	0.92	0.92	1.1	1.07
YPR126C			0.62	0.63	1.73	1.21	0.76
YLR203C	MSS51		0.72	0.68	1.52	1.5	0.75
YPL109C			2.08	2.25	0.42	0.59	1.82
YBR188C	NTC20		1.53	1.22	0.86	0.83	1.44
YDL099W			1.26	1.12	0.82	0.81	1.49
YEL057C			1.02		0.88	0.64	1.41
YCL062W			0.42		1.68	1.24	0.63
YDL020C	RPN4		3.94	3.94	0.27	0.25	3.93
YOL086C	ADH1		0.97	1.34	1.21	0.89	1.53
YOR169C			0.55	0.5	2.32	2.07	0.58
YHL009C	YAP3		0.88	0.81	1.01	1.12	0.82
YFL014W	HSP12		72.39	133.48	0.02	0.02	78.75
YNL115C			2.22	2.19	0.51	0.59	2.14
YPL043W	NOP4		0.38	0.31	3.17	2.81	0.4
YCRX10W			0.67	0.59	1.54	1.27	0.77
YML092C	PRE8		1.26	1.22	0.88	0.69	1.8
YER074W	RPS24A		0.21	0.14	5.3	5.06	0.22
YDR371W			1.58	1.45	0.71	0.74	1.43
YFR032C			1.18	1.23	1.42	1.44	0.65
YFL015C			0.62	0.51	1.62	1.46	0.66
YPR061C			2.4		0.45	0.78	1.5
YGL240W	DOC1		0.85	0.88	0.93	0.87	1.03
YDR437W			1.01	0.89	0.93	0.85	0.98
YKL163W	PIR3		4.63	5.97	0.22	0.16	7.37
YPL044C			0.5	0.69	1.81	1.53	0.63
YDR103W	STE5		3.17	3.31	0.3	0.33	3.59
YHR026W	PPA1		0.67	0.57	1.55	1.26	0.69
YER075C	PTP3		1.13	0.76	1.35	1.16	0.8
YDR372C			1.1	1.01	1.16	1.2	0.93
YCR080W			0.69	0.76	0.87		0.89
YCL063W			0.49	0.39	1.54	1.45	0.6
YOL087C			1.06	0.99	1.05	1.11	1
YKL164C	PIR1		0.63		1.07	0.95	0.97
YGR069W			0.6	0.42	1.38	0.98	1.05
YHR027C	RPN1		1.09	0.62	1.48	1.09	0.34
YDR104C			0.84	1.01	0.99	1.02	1
YNL050C			1.18		0.87		1.18
YMR175W	SIP18		5.1	6.4	0.18	0.39	2.94
YCRX11W			0.61		1.2		0.79
YPR127W			6.79	4.88	0.18	0.26	5.2
YLR204W	QRI5		0.31	0.27	3.68	2.63	0.43
YMR153C-A			0.96	1.33	0.87	0.94	1.15
YCL064C	CHA1		5.11	5.65	0.17	1.14	0.77
YBR189W	RPS9B		0.1	0.1	10.23	8.46	0.12
YFR033C	QCR6		2.09	1.8	0.68	0.69	2.1
YEL058W	PCM1		1.2	1.08	1.01	0.86	1.23
YFL016C	MDJ1		2.69	2.87	0.41	0.46	2.24
YGL241W	KAP114		1.01	0.74	1.16	1.17	0.56
YDR438W			1.7	1.69	0.65	0.88	1.59
YDL021W	GPM2		4.64	6.76	0.16	0.37	3.57
YPR128C			1.11	1.36	0.91	1.08	0.94
YLR205C			0.23	0.24	4.74	4.73	0.28
YNL116W			1.2	1.57	0.88	0.81	1.4
YER076C			0.96	1.02	1.02	1	0.91
YCR081W	SRB8		0.87	0.78	1.06	1.22	0.9
YOL088C	MPD2		1.44	1.43		0.7	1.42
YKL165C	MCD4		1.28	0.63	1.35	1.13	0.57
YGL242C			1.56	1.6	0.66	0.69	1.55
YIL170W	HXT12		0.54	0.67	1.41	1.23	0.66
YML093W			0.91	0.86	1.27	1.28	0.67
YHR028C	DAP2		0.97	0.99	1.02	0.98	1.1
YDR105C			1.86	1.54	0.6	0.82	1.54
YBR110W	ALG1		1.05	1.05	0.91	1.02	1.08
YMR176W	ECM5		1.11	1.09	1.01	1.09	0.55
YPR062W	FCY1		0.79	0.84	1.87	1.99	0.76
YPL045W	VPS16		1.04	0.96	0.97	0.98	0.92
YCRX12W			0.57	0.54	1.38	1.18	0.77
YDR373W	FRQ1		1.01	1.05	0.94	1.14	1.1
YFR034C	PHO4		0.46	0.44	2.72	2.43	0.43
YEL059W			0.9	0.72	1.03	0.73	0.92
YBR111C	YSA1		1.94	1.97	0.59	0.73	1.72
YFL017C	GNA1		0.91	1.02	1.14	1.27	0.96
YPR063C			0.74	0.81	1.57	1.42	0.82
YOR360C	PDE2		0.97	0.74	1.38	1.35	0.81
YDR439W	LRS4		1.01			0.82	0.61
YDL022W	GPD1		2.42	2.49	0.55	0.65	1.9
YPL046C	ELC1		1.26	1.16	1.1	1.15	0.92
YNL051W			1.12	1.08	0.9	0.82	1.08
YNL117W	MLS1		0.23	0.38	3.55	2.94	0.18
YDR374C					0.63		1.47
YER077C			1.26	1.33	0.71	0.78	1.38
YCR082W			2.97	3.13	0.36	0.32	3.18
YDR040C	ENA1		1.18	1.37	0.95	0.9	0.98
YCL065W			0.76	1.13	1.44	1.44	0.72
YOL089C	HAL9		1.01	0.98	1.05	1.02	0.9
YKL166C	TPK3		0.96	0.82	0.95	0.93	0.8
YDL023C			2.24	1.66	0.54	0.81	1.71
YIL171W	HXT12		0.82	1.09	1.35	1.26	0.87
YML094W	GIM5		0.77	0.66	1.5	1.23	0.87
YHR029C			1.86	1.91	0.54	0.51	2.17
YMR177W	MMT1		0.74	0.64	1.42	0.98	1.01
YNL118C	DCP2		0.76	0.7	1.36	1.28	0.85
YLR140W			1.28	1.29	0.77	0.82	1.46
YPR129W	SCD6		1	0.77	1.24	1.24	0.96
YLR206W	ENT2		1.14	0.8	1.2	1.22	0.92
YCRX13W			1.65	1.83	0.68	0.8	1.28
YML095C	RAD10		1.1	0.91	1.14	1.3	0.73
YIL172C			0.82	0.9	1.5	1.48	0.75
YFR035C			0.71	0.81	1.23	1.28	0.85
YBR112C	CYC8		0.53	0.46	1.73	1.29	0.68
YGR260W			1.38	1.39	0.76	1.1	0.86
YFL018C	LPD1		1.17	1.2	0.92	1.12	0.97
YOR361C	PRT1		0.66	0.45	2.39	1.84	0.5
YGL243W	TAD1		1.01	0.95	1.05	1.26	0.86
YDR106W	ARP10		0.97	1.31	0.66	0.71	1.19
YNL052W	COX5A		1.83	1.81	0.65	0.84	1.42
YER078C			0.91	0.98	1.08	0.98	0.97
YDR375C	BCS1		0.93	0.89	1.13	1.2	0.83
YCR083W	TRX3		2.67	3.08	0.4	0.49	2.8
YGR261C	APL6		0.62	0.61	1.63	1.35	0.7
YCL066W	HMLALPHA1		0.6		1.09	0.92	0.9
YKL167C	MRP49		0.87	0.91	1.23	1.12	1.01
YDL024C			1.08	1.86	0.97	0.83	1
YDR107C			1.09		0.86		0.74
YJL130C	URA2		0.93	1.02	1.28	1.08	1.09
YMR178W			1.68	1.71	0.64	0.75	1.6
YPR064W			1.04	1.21	0.77	0.7	1.29
YLR141W	RRN5		0.55	0.46	1.75	1.49	0.46
YPL047W			0.79	0.99	1.27	1.05	0.91
YCR084C	TUP1		0.38	0.24	2.71	2.67	0.37
YOL010W			0.66	0.56	1.64	1.25	0.73
YLR207W	HRD3		0.84	0.78	1.3	1.3	0.8
YCRX14W			0.49	0.65	1.43	1.06	0.66
YHR139C-A			0.81	0.68	1.81	2.12	0.58
YCL067C	HMLALPHA2		2.57	2.55	0.43	0.46	2.86
YBL030C	PET9		0.86	0.96	1.75	1.71	1.16
YDR041W			1.21	1.03	1	0.89	1.29
YFL019C			1.07	1.12	0.51	0.51	0.86
YOR362C	PRE10		1.65	1.57	0.75	0.54	2.4
YGL244W	RTF1		1.29	1.1	0.9	0.83	1.23
YNR070W			0.62	0.65	1.65	1.48	0.64
YNL053W	MSG5		0.89	0.93	1.15	1.02	1.1
YNL119W			0.17	0.15	5.64	6.49	0.21
YDR042C					0.4	0.49	1.47
YGR262C			1.1	1	1.12	1.23	0.86
YKL168C	KKQ8		1.38	1.28	0.68	0.79	1.18
YDL025C			1.17	0.9	0.99	0.97	1.39
YNR071C			0.6	0.64	1.22	1.3	0.67
YML096W			0.98	0.8	1.44	1.27	0.81
YIL173W	VTH1		1.27	0.61	1.65	1.46	0.36
YJL131C			1.48	1.49	0.68	0.69	1.42
YBR113W			0.48	0.28	1.56	1.48	0.62
YMR179W	SPT21		1.02	0.9	1.16	1	0.99
YFR036W	CDC26		1.04	1	1.27	1.07	0.94
YPR065W	ROX1		1.6		0.53	0.62	1.75
YLR142W	PUT1		7.85	9.34	0.13	0.17	8.07
YPL048W	CAM1		0.59	0.58	1.97	1.95	0.53
YOL011W	PLB3		1.31	1.11	0.82	0.71	1.54
YLR208W	SEC13		0.71	0.69	1.38	1.27	0.73
YCRX15W			1.6		0.41	0.52	1.64
YCL068C			1.22		0.77	0.78	1.18
YML097C	VPS9		0.77	0.55	1.57	1.3	0.74
YER079W			4.01	4.25	0.28	0.39	3.29
YDR376W	ARH1		1	1.09	0.91	1.04	1.02
YFR037C	RSC8		1.11	0.94	1.09	0.72	1.16
YLL060C	GTT2		74.26	83.55	0.01		120.98
YOR363C	PIP2		0.99		0.72	0.73	0.76
YGL245W			0.39	0.45	2.38	2.69	0.42
YPL049C	DIG1		1.42		0.84	0.81	1.36
YDR108W	GSG1		0.73	0.77	1.19	1.18	0.71
YNL054W	VAC7		0.92	0.92	1.07	1	1.14
YLR209C			1.35	1.46	0.91	0.98	1.28
YCRX16C			0.43	0.45	2.42	1.75	0.52
YOL012C	HTA3		0.69	0.72	1.5	1.57	0.66
YMR100W	MUB1		0.97	0.79	1.21	1.04	0.96
YCR085W			0.61		1.09	0.99	0.8
YGR263C			1.03	0.98	0.9	0.93	0.94
YDR043C	NRG1		1.45	1.54	0.42		1.6
YKL169C			1.01	1	1.16	1.03	1.22
YGL246C	RAI1		0.72	0.73	1.36	1.35	0.72
YBL031W	SHE1		0.64	0.68	1.3	1.04	0.77
YIL174W			1.01	0.91	0.83	0.79	1.28
YDR109C			1.51	1.45	0.65	0.65	1.56
YNL055C	POR1		6.3	7.05	0.26	0.2	7.87
YBR114W	RAD16		0.74	0.7	1.43	1.3	0.9
YPR066W	UBA3		1.2	1.96	0.66	0.69	1.31
YLR143W			0.8	0.77	1.34	1.34	0.82
YMR101C	SRT1		1.47	2.14	0.59	0.5	1.66
YGL180W	APG1		0.79	0.79	1.11	0.81	1.09
YDR377W	ATP17		1.51	1.67	0.65	0.72	1.36
YBR115C	LYS2		0.76	0.67	1.46	1.77	0.58
YLR144C	ACF2		1.37	1.49	0.67	0.92	1.38
YDL026W			1.37	1.34	0.68	0.67	1.26
YNR072W						0.99	1.17
YJL132W			6.07	7.38	0.18	0.22	5.4
YNL310C			0.92	0.9	1.17	0.99	0.85
YOL013C	HRD1		1.24	1.15	1	1.01	0.98
YDR378C	LSM6		1.05	1.16	1.16	1.24	1.05
YCR086W			1.4	1.72	0.7	0.64	1.96
YGR264C	MES1		0.52	0.39	2.49	2.36	0.46
YCL069W			0.59	0.68	1.37	1.41	0.69
YDL027C			2.7	2.77	0.39	0.44	2.57
YNR073C					0.67	0.78	1.23
YJR150C	DAN1		0.45	0.4	1.97	1.49	0.63
YBL032W			0.49	0.46	1.99	1.79	0.48
YML098W	TAF19		1.22	1.32	0.85	0.8	0.98
YIL175W			1.74	1.61	0.57	0.54	1.87
YLL061W	MMP1		1.13	1.36	0.8	0.74	1.33
YFR038W			0.9	0.84	1.19	1.21	0.84
YER001W	MNN1		0.78	0.63	1.47	1.82	0.61
YPR067W	ISA2		1.58	1.66	0.63	0.49	2.3
YOR364W			1.28		0.81		0.69
YMR102C			0.89	0.72	1.43	1.22	0.87
YOR030W	DFG16		1.13		0.74	0.86	0.85
YCR097WA			3.12	3.97	0.24	0.28	3.4
YCR097WB			3.68	4.53	0.23	0.27	3.79
YCRX17W			0.8	0.89	1.05	0.96	1.08
YBR050C	REG2		0.74	0.85	1.11	0.94	1.03
YML099C	ARG81		0.72	0.55	1.57	1.06	0.65
YIL176C			1.75	1.79	0.8	0.84	1.68
YBL033C	RIB1		2.07	2.32	0.43	0.52	2.16
YGL181W	GTS1		0.88	0.81	1.04	1.2	0.96
YFR039C			1.4	1.51	0.77	0.63	1.82
YBR116C			8.14		0.22	0.97	2.67
YLL062C			0.71	0.87	1.99	2.3	0.7
YDR044W	HEM13		0.16		7.12	8.13	0.16
YPR068C	HOS1		1.65	1.73	0.49	0.49	1.92
YOR365C			1.28		0.52	0.55	1.03
YGL247W			1.53	1.53	0.52	0.58	1.87
YJL133W	MRS3		0.52	0.59	2.21	1.18	0.55
YNL056W			2.4	2.61	0.46	0.53	3.04
YCRX18C			0.61	0.58	1.38	1.04	0.9
YNL311C			1.22	1	1.04	0.94	1.1
YCR087W			0.35	0.46	3.25	2.76	0.43
YDR045C	RPC11		0.6	0.61	1.4		0.6
YDL028C	MPS1		1.39	0.99	0.93	0.93	0.85
YJR151C			1.04	0.66	1.31	1.23	0.86
YPL240C	HSP82		1.77	1.53	0.82	0.97	1.39
YER002W			0.7	0.6	1.7	1.39	0.89
YLR145W			0.91	1.03	1.25	1.06	0.97
YMR103C			3.98	3.48	0.3	0.35	3.31
YOR031W	CRS5		2.06	2.16	0.52	0.66	1.49
YOL014W			1.15	1.12	1.01	0.67	1.62
YIL177C			1.93	2.16	0.57	0.62	1.89
YBL034C	STU1		1.1	1.14	0.86	1.01	
YDR379W	RGA2		1.56	1	0.7	0.71	1.49
YBR117C	TKL2		4.99	11.79	0.21	0.42	2.62
YLL063C	AYT1		1.14	1.39	0.68	0.73	1.19
YGR265W			0.31	0.4	2.45	1.53	0.41
YPR069C	SPE3		0.51	0.51	2.05	2.41	0.43
YLR146C	SPE4		0.88	0.82	1.25	1.01	1
YER003C	PMI40		0.66	0.65	1.62	1.78	0.62
YDR300C	PRO1		0.73	0.58	1.78	1.82	0.54
YGL248W	PDE1		6.03	5.98	0.19	0.24	4.91
YOR032C	HMS1		1.02	1.07	0.86	0.86	0.98
YJL134W	LCB3		0.69	0.89	1.22	1.41	0.77
YNL057W			3.37	3.9		0.28	3.71
YML020W			1.04	1.06	0.97	0.98	0.98
YLR400W			0.47		2	1.89	0.41
YCR088W	ABP1		0.84	0.88	1.15	0.88	1.13
YDR046C	BAP3		1.16	1.26	0.89	0.68	1.52
YBR051W			0.53	0.64	1.11	1	0.8
YNL058C			4.56	3.48	0.33	0.29	6.92
YLR080W			1.65	3.1	0.37	0.69	1.91
YPL241C	CIN2		0.52	0.46	1.74	1.78	0.56
YML021C	UNG1		0.98	1.01	1	1.06	0.95
YOR366W			1.29				
YMR104C	YPK2		2.55	2.45	0.4	0.48	2.5
YLR401C			0.49	0.32		2.09	0.38
YCRX19W			0.68		1.21	0.93	
YNL312W	RFA2		0.84	0.9	1.15	1.02	1.1
YBR052C			2.86	2.51	0.45	0.54	2.42
YBL035C	POL12		0.48	0.55	1.65	1.87	0.58
YLL064C			1.24	1.12	0.98	1.21	1.18
YGR266W			1.32	1.23	0.88	0.91	1.13
YLR147C	SMD3		0.53	0.53	1.59	1.5	0.59
YDL029W	ARP2		1.44	1.45	0.64	0.76	1.47
YGL249W	ZIP2		2.22	2.54	0.36	0.44	2.93
YNR075W	COS10		1.05		0.9	0.98	1.17
YJR152W	DAL5		0.38	0.42	2.3	3.03	0.32
YOR033C	DHS1		1.09	1.08	0.89	0.89	1.06
YJL135W			0.61		0.8		0.77
YNL313C			0.55	0.5	2.31	2	0.63
YOL016C	CMK2		1.92	2.43	0.44	0.5	
YGL184C			0.83	0.82	1.08	0.84	1.11
YCR089W	FIG2		1.89	1.93	0.57	0.45	1.99
YGR267C	FOL2		1.02	0.87	1.23	1.11	1.04
YJL070C			1.41	1.27	1	1.11	0.98
YCR010C			0.17	0.11	5.38	5.51	0.15
YNL059C	ARP5		0.95	0.84	1.14	0.92	0.96
YLR081W	GAL2		0.85	0.75	1.33	1.15	0.72
YJL136C	RPS21B		0.17	0.13	6.6	7.45	0.18
YBR118W	TEF2		0.58	0.81	2.27	2.72	0.65
YPL242C	IQG1		1.29	1.2	0.9	0.67	1.65
YER004W			2.8	2.93	0.38	0.32	4.25
YDR301W	CFT1		1.05	0.66	1.27	1.13	0.35
YOR367W	SCP1		1.36	1.32	0.81	0.99	1.02
YMR105C	PGM2		2.42	3.49	0.39	0.39	2.72
YBR053C			2.63	2.41	0.38	0.43	2.02
YBL036C			0.86	0.83	1.32	1.35	0.86
YLR082C	SRL2		1.51	1.69	0.54	0.77	1.53
YDR047W	HEM12		0.52	0.55	1.98	1.72	0.52
YNR076W	PAU6		1.45	1.55	0.99	0.94	1.25
YJR153W	PGU1		1.19		1.04	0.86	1.15
YOR034C	AKR2		0.74	0.77	1.31	1.35	0.73
YML022W	APT1		0.59	0.64	2	2.31	0.56
YLR402W			1.14		0.75	0.68	1.13
YGL185C			1.43	1.69	0.59	0.65	1.74
YGR268C			1.27	1.28	0.79	0.73	1.46
YDR048C			1.36	1.7	0.63	0.73	1.2
YNR077C			0.41		2.48	1.1	0.47
YCR011C	ADP1		1.12	1.08	0.99	1.05	1.03
YJL137C	GLG2		1.35	1.13	0.79	0.88	1.1
YBR119W	MUD1		2.03	2.17	0.52	0.63	1.73
YLL065W	GIN11		0.92	0.84	1.18	0.9	1.15
YML023C			0.6		1.75	1.35	0.66
YER005W	YND1		0.97	0.81	1.12	1.28	0.78
YDR302W			0.77	0.75	1.4	1.36	0.72
YOR368W	RAD17		0.98	0.99	1.02	1.14	1.17
YLR148W	PEP3		1.01	1.05	0.76	0.83	1.05
YFR031C-A	RPL2A		0.15	0.11	8.52	12.87	0.12
YMR106C	YKU80		1.04	0.99	1.04	1.11	0.91
YNL314W	DAL82		1.52	1.28	0.79	0.97	1.36
YOL017W			1.06	1.33	0.81	0.78	1.01
YLR083C	EMP70		0.61	0.5	2.36	2.16	0.56
YHR160C	PEX18		1.39	1.53	0.69	0.81	1.31
YLL066C			2.04	1.81	0.74	0.79	1.84
YDL220C	CDC13		0.91	0.79	1.11	0.94	0.94
YJL071W	ARG2		1.25	1.18	0.83	0.87	1.15
YOR369C	RPS12		0.09	0.08	15.92	13.79	0.08
YLR149C			1.36	1.22	0.84	0.77	0.98
YDR303C			0.73		1.77	1.36	0.54
YJR154W			1.47		0.43		1.13
YOR035C	SHE4		1.1	1.07	1.03	1.19	0.92
YNL315C	ATP11		0.75	0.67	1.49	1.44	0.86
YOL018C	TLG2		1.71	1.85	0.51	0.51	1.6
YMR040W			2.25	3.65	0.3	0.35	
YIL100W			1.2		0.7	0.79	
YPL243W	SRP68		0.68	0.62	1.57	1.51	0.75
YLR403W	SFP1		0.91	0.74	1.07	1	0.98
YGL186C			0.52	0.5	1.95	1.94	0.52
YJL072C			1.21	1.19	1.05	1.07	1.2
YBR054W	YRO2		25.19	30.61	0.05	0.07	31.28
YBL037W	APL3		1.03	0.85	1.12	1.23	0.94
YJL138C	TIF2		0.36	0.34	4.02	4.42	0.32
YMR041C			1.71	1.47	0.67	0.71	1.6
YPL244C			0.74	0.59	1.72	1.47	0.69
YIL101C	XBP1		1.75		0.63	0.54	2.15
YER006W			0.71	0.5	2	2.09	0.59
YBR055C	PRP6		1.48	1.37	0.62	0.48	1.4
YLR084C	RAX2		0.95	1.09	0.82	0.92	1.06
YHR161C	YAP1801		0.53	0.39	2.4	2.38	0.4
YAL001C	TFC3		1.28	1.16	0.88	1.04	0.95
YLL067C			2.21	1.98	0.63	0.66	1.8
YGR269W			0.92	1.25	0.72	0.66	1.25
YDR049W			1.25	1.3	0.8	0.75	1.15
YDR304C	CYP5		1.46	1.54	0.75	0.78	1.25
YCR012W	PGK1		2.11	2.46	0.62	0.72	2.22
YJR155W				18.27	0.04	0.04	36.96
YNL316C	PHA2		0.86		0.84	0.94	0.99
YML024W	RPS17A		0.16	0.13	6.37	6.06	0.19
YMR107W			0.78	0.85	1.21	1.86	0.53
YLR404W			0.6	0.41	1.47	2.01	0.69
YGL187C	COX4		1.52	1.7	0.79	1.04	1.15
YJR090C	GRR1		0.84	0.6	1.32	1.14	0.64
YJR156C	THI11		2.11	3.43	0.37	0.62	1.43
YCR013C			1.78	1.95	0.76	0.78	1.72
YBL038W	MRPL16		2	1.76	0.57	0.56	1.89
YJL139C	YUR1		0.88	0.8	1.1	0.84	0.82
YDL221W			1.27		0.72	0.59	1.24
YML025C			0.67	0.64	1.62	1.12	0.81
YIL102C			0.61		1.34	1.11	0.66
YER007W	PAC2		1.19	1.28	0.92	1.01	0.85
YKL030W			0.43	0.4	2.97	2.79	0.38
YNL250W	RAD50		1.01	1	1	0.68	1.46
YOR036W	PEP12		3.2	3.19	0.36	0.38	3.1
YOL019W			0.68	0.65	1.52	1.34	0.66
YBL039C	URA7		0.31	0.25	2.92	2.68	0.35
YLR085C	ARP6		0.75	0.64	1.53	1.67	0.67
YDL222C			0.66	0.59	1.88	1.6	0.55
YJL073W	JEM1		0.88	0.71	1.31	1.09	0.96
YER008C	SEC3		0.88		1.19	0.97	0.74
YDR305C	HNT2		1.55	1.39	0.6	0.74	1.72
YNL251C	NRD1		1.6	1.54	0.87	0.86	1.42
YMR042W	ARG80		0.74	0.62	1.5	1.35	0.77
YPL245W			0.4	0.35	2.7	2.63	0.44
YMR108W	ILV2		0.46	0.36	3.14	3.19	0.41
YLR405W			0.5	0.42	2.5	2.3	0.47
YGL188C			1.7	1.76	0.58	0.75	1.67
YJR091C	JSN1		0.8	0.88	1.21	1.03	0.65
YJL074C	SMC3		0.8	0.69	1.27	1.05	0.99
YBR056W			3.4	3.61	0.26	0.43	2.37
YCR014C	POL4		1.5	1.4	0.67	0.73	1.39
YHR162W			1.21	1.06	0.99	1.11	1.06
YAL002W	VPS8		1.11	1.05	1.07	1.06	1.07
YPL246C			0.75	0.82	1.28	1.22	1.01
YML026C	RPS18B		0.15	0.12	10.1	9.2	0.12
YKL031W			0.8				
YOR037W	CYC2		1.16	0.93	0.86	1.12	0.96
YNL317W	PFS2		1.01	1.12	0.87	1.1	1.02
YBR057C	MUM2		1.45	1.34	0.71	0.77	1.29
YDR240C	SNU56		0.97	0.97	0.99	1.07	0.98
YAR020C	PAU7		1.46	1.43	0.86	0.75	1.26
YDL223C			1.18	0.96	1.15	0.93	1.02
YDR306C			0.73	0.95	0.54	0.54	0.94
YNL252C	MRPL17		0.67	0.69	1.41	1.19	0.8
YKL032C	IXR1		0.86	0.91	1.13	0.94	0.76
YJR157W							2.04
YPL180W			1.25	1.24	0.89	0.86	1.29
YOR038C	HIR2		0.97		0.94	1.06	0.85
YMR172C-A			1.3	1.23	0.84	0.79	1.22
YAL034W-A	MTW1		1.06	1.09	0.77	0.68	1.03
YNL318C	HXT14		0.69			1.04	0.85
YMR043W	MCM1		1.02	0.62	1.21	1.08	1.03
YLR340W	RPP0		0.13	0.12	10.61	9.97	0.13
YNR001C	CIT1		3.02	3.45	0.35	0.36	2.74
YIL103W			0.68	0.69	1.4	1.3	0.82
YMR109W	MYO5		1.13	1.25	1	0.99	1.06
YGL189C	RPS26A		0.12	0.15	8.11	7.25	0.18
YJL075C			0.5	0.49	2.02	1.24	0.6
YCR015C			1.2	1.03	0.9	0.97	0.87
YLR086W	SMC4		1.15	0.96	0.91	0.82	1.1
YHR163W	SOL3		0.77	0.63	1.52	1.42	0.76
YAL003W	EFB1		0.45	0.43	3.61	4.07	0.43
YPL247C			2.33	2.64	0.39	0.45	2.13
YIL104C			0.39	0.41	2.66	2.14	0.52
YER009W	NTF2		0.74	0.9	1.66	2.16	0.63
YBR058C	UBP14		0.76	0.81	1.14	1.05	0.81
YLR087C			1.04		0.92	0.94	0.79
YHR164C	DNA2		0.76	0.43	2.34	1.5	0.75
YJR092W	BUD4		1.13		1.02	0.74	0.94
YDL224C	WHI4		1.02	0.71	1.22	0.98	0.83
YGL110C			0.92	0.95	0.94	0.85	0.96
YJR158W	HXT16		0.98	1.1	0.97	0.85	1.07
YPL181W			1.77	1.56	0.71	0.81	1.55
YMR044W			0.96	0.91	1.04	1.01	0.92
YLR341W			1.57	2.34	0.48	0.47	2.06
YNR002C	FUN34		0.88	1.15	1.06	1.06	0.93
YML027W	YOX1		0.9	0.82	1.36	1.35	0.64
