NAME	GENE	CHR	ya1s4p2_109	ya1s4p2_125	ya1s4p2_0115FR	ya1s4p2_0111FR	ya1s4p2_0112
YOR214C			0.67	0.65	1.28	1.16	0.81
YNL239W	LAP3		0.86	0.88	1.46	1.5	0.83
YKL019W	RAM2		1	1.19	0.99	1.22	0.9
YDR496C			0.46	0.33	2.59	1.87	0.49
YDR162C	NBP2		1.29	1.3	0.8	0.75	0.79
YDL145C	COP1		0.43	0.47	2.27	2.06	0.54
YDR228C	PCF11		0.91	0.86	1.46	1.39	0.72
YBR090C-A			0.78	0.74	1.73	1.41	0.79
YBR233W	PBP2		1.26	1.28	0.75	0.7	1.42
YGL031C	RPL24A		0.12	0.1	15.34	16.4	0.1
YJR079W			1.55	1.68	0.72	0.73	1.34
YGR114C			0.84	0.73	1.33	1.55	0.71
YKR037C	SPC34		1.11	1.03	0.99	1.08	0.79
YPR185W	APG13		0.82	0.75	1.66	1.47	0.65
YPL168W			1.89	1.79	0.52	0.56	1.81
YLR328W			0.86	0.81	1.23	0.83	
YOL131W			1.34				1.05
YBR234C	ARC40		1.05	1.15	0.91	1.13	0.95
YHR085W			1.78	1.72	0.67	0.36	3.6
YPR186C	PZF1		0.78	0.77	1.29	1.02	0.9
YIR043C			5.55	4.67	0.19	0.3	4.61
YPL169C	MEX67		0.79	0.72	1.67	1.61	0.71
YAR008W	SEN34		0.71	0.69	1.34	1.45	0.72
YIL026C	IRR1		0.8	0.83	1.34	1.38	0.82
YNL174W			0.29	0.28	3.46	2.94	0.34
YOR215C			7.71	4.5	0.21	0.21	6.19
YMR220W	ERG8		1.02	0.79	1.21	1.5	0.78
YDR497C	ITR1		0.71	0.66	1.59	2.05	0.59
YDL080C	THI3		0.93	0.91	1.14	1.22	0.78
YAR009C			21.29	14.99	0.14	0.11	16.47
YNL175C			0.3	0.25	4.18	3.33	0.3
YGL032C	AGA2		11.02		0.09	0.31	11.37
YGR115C			0.69	0.55	1.49	1.04	0.63
YKR038C			1	0.83	1.2	1.32	0.78
YER120W	SCS2		0.7	0.67	1.72	1.98	0.62
YLR263W	RED1		0.88		1.08	0.92	0.86
YMR221C			1.02	0.83	1.16	1.26	0.78
YLR329W	REC102		0.79		0.54		
YOL132W			1.12		0.7	0.8	0.77
YDR163W			1.41	1.53	0.65	0.62	1.38
YHR086W	NAM8		0.81	0.74	1.27	1.11	0.76
YDL146W			0.92	0.94	1.03	1.21	0.67
YIR044C			4.04	4.58	0.21	0.39	3.13
YIL027C			1.46	1.37	0.78	0.83	1.45
YDR229W			1.47	1.69	0.54	0.71	1.5
YOR216C	RUD3		0.93	0.93	1.06	1.01	1.07
YBL005W-A			26.55	22.19	0.09	0.09	24.29
YBL005W-B			3.72				4.86
YJR001W			0.88	0.89	1.2	1.24	0.92
YDR498C	SEC20		1.34	1.02	0.76	0.9	1.23
YDL081C	RPP1A		0.35	0.34	4.16	3.86	0.39
YDR164C	SEC1		0.98	0.98	1.02	0.95	1
YGR050C			0.84	0.49	1.08	1.49	1.03
YNL176C			2.67	2.1	0.59	0.33	3.7
YBR235W			1.2	1.13	1.03	1.02	1.06
YER121W			2.55	2.43	0.54	0.6	2.35
YPR187W	RPO26		0.42	0.39	3.58	3.13	0.42
YLR264W	RPS28B		0.24	0.24	6.16	6.29	0.23
YMR222C			1.14	1.1	0.85	0.98	0.88
YOR150W	MRPL23		1.01	1.1	1.11	0.96	1.12
YKL210W	UBA1		1.11	1.18	0.96	0.79	1.25
YOL133W	HRT1		0.9	0.87	1.07	1.14	0.82
YBR170C	NPL4		1.34	1.18	0.76	0.64	1.71
YBR236C	ABD1		0.95	0.91	0.98	1.24	1.1
YHR087W			0.77	0.72	1.37	1.37	0.73
YPR188C			1.22	1.31	1.01	1	1.29
YER122C	GLO3		0.96	0.84	1.14	1.21	0.93
YDL147W	RPN5		1.41	1.28	0.85	0.64	1.75
YLR265C			5.67		0.24	0.32	
YOR151C	RPB2		0.59	0.55	2.07	1.49	0.72
YGL033W	HOP2		1.01	1.44	0.83	0.86	0.89
YOL134C			0.91	0.86	0.9	1.02	0.92
YKL211C	TRP3		0.93	0.86	1.23	1.38	0.82
YGR116W	SPT6		1.01		1.45	1.31	0.63
YKR039W	GAP1		5.97	8.6	0.15	0.48	2.25
YJR002W	MPP10		0.51	0.54	1.33	1.26	0.57
YDL148C			0.31	0.29	3.29	1.87	0.52
YGR051C			0.85	1.54	0.61	0.64	1.1
YNL177C			1.01	0.9	1	1.53	1.04
YGL034C			0.92		0.92	1	0.86
YGR117C			1.29	1.34	0.75	0.77	1.33
YIL028W			0.68	0.88	1.41	1	1.03
YJR003C			1.17	1.13	0.85	0.89	1.36
YOR217W	RFC1		0.61	0.57	1.88	2.06	0.53
YDR499W			1.1	0.93	1.05	0.88	0.94
YDL082W	RPL13A		0.23	0.14	7.18	6.4	0.2
YDR165W			0.79	0.63	2.19	1.76	0.7
YHR088W			0.9		1.09	1.03	0.87
YLR266C			1.93	2.05	0.55	0.6	1.6
YIL029C							0.91
YOR152C			1.41	1.6	0.6	0.76	1.59
YOL135C	MED7		1.31	1.02	0.7	0.81	1.47
YOR218C			0.65	0.68	1.58	1.39	0.65
YMR223W	UBP8		0.81	0.58	1.6	1.64	0.57
YDL083C	RPS16B		0.09	0.09	12.05	11.46	0.1
YDR166C	SEC5		1.16	0.96	1.04	1.16	0.78
YHR089C	GAR1		0.36	0.33	3.09	2.28	0.51
YBR171W	SEC66		0.77	0.81	1.44	1.57	0.8
YGL035C	MIG1		0.99	0.79	1.48	1.33	0.79
YEL040W	UTR2		0.12	0.16	6.12	7.65	0.23
YBR237W	PRP5		1.22	1.37	0.78	0.88	1.17
YER123W	YCK3		0.46	0.45	2.11	1.43	0.54
YDR420W	HKR1		0.77	0.63	1.57	1.14	0.88
YPR189W	SKI3		1.2	0.99	0.99	1.1	0.41
YMR224C	MRE11		1.09		0.87	1.05	0.67
YJR004C	SAG1		0.97	1.14	0.94	0.86	0.96
YPR110C	RPC40		0.41	0.44	2.36	2.45	0.44
YKL212W	SAC1		0.94	0.82	1.14	1.22	0.81
YBR172C	SMY2		0.61	0.54	1.9	1.26	0.85
YBR238C			0.2		7.07	2.4	0.29
YER124C			0.1	0.09	10.54	11.23	0.08
YDL149W	AUT9		1.07	1.38	0.79	0.94	0.57
YOL070C			1.88	1.85	0.59	0.44	2.18
YGR052W			1.4		0.57	0.8	1.32
YNL178W	RPS3		0.07	0.07	14.72	14.86	0.07
YOL136C	PFK27		0.47	0.37	2.86	2.21	0.48
YKL213C	DOA1		1.09	1.1	1	0.91	1.1
YGR118W	RPS23A		0.16	0.18	8.07	9.29	0.17
YOR219C	STE13		1.24	1.11	1	0.96	1.17
YJL190C	RPS22A		0.06	0.07	22.35	23.08	0.07
YGR053C			1.58		0.45	0.56	1.86
YNL179C			1.34	0.41	0.68	0.78	1.38
YEL041W			2.18	1.95	0.44	0.6	2.31
YGR119C	NUP57		0.83	0.71	1.37	1.18	0.8
YDR421W			1.83	1.98	0.48	0.71	1.62
YLR267W	BOP2		0.74	0.55	2.18	1.74	0.66
YMR225C	MRPL44		1.16	1.2	0.86	0.78	1.21
YHR010W	RPL27A		0.12	0.14	10.68	9.45	0.17
YOR153W	PDR5		0.91	0.65	1.7	1.07	1.07
YBR173C	UMP1		1.19	1.32	0.87	0.77	1.4
YDL084W	SUB2		0.48	0.42	2.38	2.52	0.43
YBR239C			0.81	0.8	1.31	1.4	0.76
YDR167W	TAF25		1.24	1.3	0.79	0.89	1.2
YGL036W	MTC2		0.75	0.65	1.63	1.29	0.83
YKL214C			0.86	0.85	1.1	1.13	0.71
YAL035C-A			0.44	0.5	1.89	1.75	0.51
YJR005W	APL1		1.21	0.99	0.94	1.1	0.93
YBL090W	MRP21		1.03	0.96	0.97	0.95	1.37
YPR111W	DBF20		1.27	0.98	0.73	0.73	1.25
YGL037C			4.81	4.6	0.28	0.29	4.64
YEL042W	GDA1		0.54	0.39	2.33	2.24	0.47
YER125W	RSP5		0.39	0.29	3.14	2.73	0.41
YLR268W	SEC22		0.99	0.9	1.13	1.21	0.92
YOL071W			2.35	2.23		0.48	2.34
YMR226C			2.44	2.1	0.49	0.68	2.06
YHR011W			1.19	1.19	0.86	0.95	1.32
YOR154W			0.97	0.8	1.05	1	0.86
YPR112C	MRD1		0.61	0.5	2.04	1.53	0.69
YBL091C	MAP2		0.88	0.68	1.44	1.72	0.7
YOL137W			1.28	1.21	0.97	0.81	1.27
YBR174C			0.68		1.2	0.81	0.87
YNL100W			2.56	2.81	0.47	0.48	2.6
YDL085W			1.62	1.65	0.65	1.04	1.21
YDR168W	CDC37		0.33	0.37	2.64	2.55	0.65
YER126C			0.49	0.42	2.07	1.94	0.53
YDR423C	CAD1		0.99	0.97	0.9	0.99	0.93
YJL191W	RPS14B		0.15	0.11	7.56	9.85	0.19
YLR269C			1.19	1.53	0.72	0.77	1.19
YGR054W			0.23	0.19	4.95	2.7	0.38
YOR155C			1.47	1.48	0.77	0.96	1.29
YOL138C			0.89	1.02	0.99	1	0.96
YMR160W			1.2	1.37	0.85	0.84	1.3
YKL215C			1.02	1.25	0.83	1	0.34
YJR006W	HYS2		1.23	1.16	0.85	0.97	1.13
YDR169C	STB3		1.16	0.88	1.21	0.97	1.21
YJL192C			0.95	0.85	1.38	1.53	0.9
YER060W	FCY21		0.82	0.94	1.39	1.49	0.73
YGL038C	OCH1		1.56	1.26	0.72	1.1	1.21
YEL043W			0.75	0.59	1.32	0.96	0.77
YOL072W			0.51	0.5	1.8	1.87	0.63
