INAME	GENE	CHR	SIMR_UP2_184FR	SIMR_UP2_229	SIMR_UP2_231
iDx566I		0	  2.11	  0.66	  0.45
iBx049I		0	  1.96		  0.46
YER158C		5	  0.99	  1.73	  0.94
iLx078I		0	  0.91	  1.16	  0.98
iHx155I		0	  0.71	  1.26	  1.46
iDx232I		0	  1.34	  0.61	  0.80
iNx261I		0	  0.34	  0.67	  2.75
YFL032W		6	  2.01	  0.81	  0.46
iNx327I		0	  0.85	  2.29	  0.99
iJx404I		0	  0.96	  1.32	  0.98
YPL061W	ALD6	16	  1.01	  1.00	  1.13
iPx510I		0	  1.24	  0.71	  0.85
iGx198I		0	  0.82	  1.22	  1.14
YER092W		5	  1.24		  0.60
YFR050C	PRE4	6	  0.70	  1.03	  1.67
YFL033C	RIM15	6	  0.90	  1.25	  0.95
iCx007I		0	  1.36	  1.76	  1.10
YKL181W	PRS1	11	  0.95	  1.33	  1.03
iOx553I		0	  1.03	  1.40	  0.63
iMx036I		0	  1.22	  0.73	  0.58
iIx113I		0	  0.74		
YOR187W	TUF1	15	  1.85	  1.49	  0.57
YLR222C		12	  1.02	  1.38	  1.14
YPL128C	TBF1	16	  1.16	  1.26	  1.25
YER093C		5	  1.05	  2.00	
iHx090I		0	  0.89	  0.68	  0.83
YEL076C		5	  1.93	  0.71	  0.84
iDx567I		0	  1.95	  0.92	  0.53
YER159C	BUR6	5	  1.28	  0.58	  0.85
iLx079I		0	  1.44	  1.18	  0.52
iHx156I		0	  0.71	  0.86	  1.54
iDx233I		0	  1.26		  0.75
iNx262I		0	  0.98	  2.17	  0.67
iNx328I		0	  1.43	  0.76	  0.73
iJx405I		0	  1.39		  0.74
YJR039W		10	  1.23		  0.75
YPL062W				  1.22	  0.75
iPx511I		0	  1.38	  1.42	  0.55
YPR145W	ASN1	16	  0.94		  1.33
iGx199I		0	  0.86	  0.86	  1.55
YFR051C	RET2	6	  1.69	  1.40	  0.72
YBL111C		2	  2.04	  0.54	  0.74
iCx008I		0	  1.29	  1.89	  1.00
YKL182W	FAS1	11	  0.88	  0.52	  0.57
iOx554I		0	  0.38	  1.51	  2.09
iMx037I		0	  1.03	  0.88	  0.81
iIx114I		0	  0.54	  1.01	  1.70
YOR188W	MSB1	15	  0.79	  1.27	  0.82
YPR146C				  1.17	  1.86
YLR223C	IFH1	12	  1.46	  0.86	  0.64
iOx220I		0	  0.83	  0.50	  0.76
YER094C				  0.89	
iHx091I		0	  1.49	  0.88	  0.41
YEL077C		5	  1.90	  1.51	  1.01
iDx568I		0	  1.08	  0.49	  0.89
iHx157I		0	  1.37	  0.83	  0.59
iDx234I		0	  0.53	  1.42	  1.62
iNx263I		0	  0.76	  0.68	  0.85
iJx340I		0	  1.00	  0.97	  0.84
YFL034W		6	  0.90	  0.87	  1.13
YPR080W	TEF1	16	  1.43	  2.61	  0.91
iNx329I		0	  0.69	  0.64	  1.10
iJx406I		0	  1.39		  0.96
YPL063W		16	  1.31	  1.34	  0.85
iPx512I		0	  1.40	  1.03	  0.63
YPL129W	ANC1	16	  0.66	  0.78	  1.90
YBL112C		2	  2.10		  0.92
iCx009I		0	  1.22	  1.20	  1.04
YPR081C		16	  0.64		  1.95
YGL260W		7	  1.25	  1.10	  1.32
YKL183W		11	  1.27		  0.61
YPL064C		16	  0.93	  0.58	  1.23
iOx555I		0	  0.94	  1.32	  0.89
iMx038I		0	  1.33	  0.75	  0.71
iIx115I		0	  0.66		  1.44
YOR189W		15	  0.94	  1.10	  0.89
YPR147C		16	  0.60	  0.64	  1.74
iOx221I				  0.70	  0.52
iHx092I		0	  0.73	  0.75	  1.12
iDx569I		0	  1.61	  0.58	  0.71
YGL261C		7	  1.02	  1.23	  1.45
iHx158I		0	  0.38	  0.43	  2.53
iDx235I		0	  0.88	  0.45	  1.00
YFR052W	RPN12	6	  1.24	  0.51	  1.06
iNx264I		0	  1.34	  1.07	  0.63
iJx341I		0	  1.19	  0.69	  0.84
iJx407I		0	  0.95	  1.29	  1.48
iPx513I		0	  0.40	  1.46	  2.15
YLR224W		12	  1.07	  1.00	  1.05
YER095W	RAD51	5	  1.83	  1.37	  0.55
YFR053C	HXK1	6	  0.70	  0.65	  1.41
YBR130C	SHE3	2	  1.44	  1.58	  0.73
YBL113C		2	  1.52	  0.63	  1.04
iOx490I		0	  0.75	  1.59	  0.93
iIx050I		0	  2.70	  1.51	  0.39
YPR082C	DIB1	16	  1.41	  1.41	  0.95
YKL184W	SPE1	11	  1.41		  0.85
iOx556I		0	  1.81	  1.25	  0.55
iMx039I		0	  1.12	  0.71	  0.72
iIx116I		0	  0.82	  0.63	  0.92
YPR148C		16	  1.18	  0.42	  0.93
YLR225C		12	  0.80	  1.08	  1.32
YGR010W		7	  1.63	  0.62	  0.57
iOx222I		0	  1.49	  1.05	
iHx093I		0	  0.61	  0.70	  1.87
iDx170I		0	  1.08	  1.07	  0.77
iHx159I		0	  1.18	  1.00	  0.74
iDx236I		0	  0.99	  0.61	  1.33
iNx265I		0	  0.50	  0.49	  2.38
iJx342I		0	  1.12	  0.76	  0.99
YFL036W	RPO41	6	  0.85	  1.68	  1.11
iJx408I		0	  1.07		  1.49
YPL065W	VPS28	16	  0.80	  0.75	  1.34
iPx514I		0	  1.46	  0.72	  0.78
YER096W	SHC1	5	  0.63	  1.25	  1.29
YFR054C		6	  0.68	  1.61	  1.78
iOx491I		15	  0.72	  1.68	  0.97
iIx051I		0	  0.99	  1.04	  0.86
YLR160C				  1.47	
YGL262W		7	  0.99	  1.45	  1.24
YKL185W	ASH1	11	  1.71	  0.78	  0.59
iOx557I		0	  0.97	  0.78	  0.94
iIx117I		0	  1.12	  0.66	  0.81
YGR011W		7	  1.73	  0.48	  0.46
iOx223I		0	  1.61	  2.78	  0.75
iKx300I		0	  1.07	  1.74	  1.03
YML102C-A		13	  1.76	  0.76	  0.49
YML100W	TSL1	13	  0.86	  2.24	  1.22
iHx094I		8	  0.59	  1.02	  2.08
iDx171I		0	  0.88	  1.01	  1.00
YGR280C		7	  1.42	  1.00	  0.54
YKL186C	MTR2	11	  1.32	  1.99	  0.71
iDx237I		0	  0.83	  1.56	  1.26
YBR131W				  0.74	  0.90
iNx266I		0	  1.37	  0.74	  0.49
iJx343I		0	  1.05	  1.02	  0.84
YFL037W	TUB2	6	  1.86	  0.75	  0.43
YPR083W		16	  1.25		  1.15
YPL066W		16	  1.45	  0.85	  0.87
YML101C				  1.55	
iPx515I		0	  1.13	  1.92	  0.69
YPR149W	NCE102	16	  1.37	  2.24	  0.67
YLR226W	BUR2	12	  0.74	  2.09	  1.39
YER097W		5	  1.01	  0.92	  0.81
YBR132C	AGP2	2	  0.81	  0.87	  1.32
iOx492I		0	  0.65	  0.92	  1.75
iIx052I		0	  1.83	  0.83	  0.49
YFL038C	YPT1	6	  2.11		  0.40
YGL263W	COS12	7	  0.90	  0.56	  1.08
YPL067C		16	  1.36	  1.03	  0.54
iOx558I		0	  0.77	  0.67	  1.20
iIx118I		0	  1.24	  2.21	  0.96
YLR227C		12	  0.71	  1.83	  1.93
YGR012W		7	  1.66	  1.78	  0.57
iOx224I		0	  0.74	  1.01	  1.28
iKx301I		0	  0.82	  1.58	  1.08
YBL101W-A		2	  1.68	  0.80	  0.97
YBL101W-B		2	  0.93	  1.67	  1.50
iHx095I		0	  0.45	  1.95	  1.55
iDx172I		0	  0.97	  0.98	  1.22
YKL187C		11	  1.23	  0.68	  1.00
iDx238I		0	  0.75	  0.61	  1.29
iNx267I		0	  1.14	  0.72	  0.77
iJx344I		0	  1.36	  0.73	  0.89
YFR055W		6	  1.01	  0.83	  0.97
YBR012W-A		2	  1.79	  1.22	  0.72
YLR161W				  0.46	
iPx450I		0	  0.45	  1.68	  1.86
iJx010I		0	  0.99	  0.48	  1.31
YPR084W		16	  0.75	  0.23	  1.67
YBR012W-B		2	  1.39	  0.43	  1.24
iPx516I		0	  1.09	  0.51	  0.82
YER098W	UBP9	5	  0.83	  0.91	  1.21
YBR133C	HSL7	2	  1.42	  0.64	  0.58
YFR056C		6	  1.18	  1.97	  0.83
iOx493I		0	  2.45	  0.58	  0.47
iIx053I		0	  1.45	  1.15	  0.59
iEx130I		0	  0.96	  1.39	  0.92
YGR281W	YOR1	7	  0.69		
YFL039C	ACT1	6	  2.07	  1.41	  0.45
YPR085C		16	  0.75	  0.76	  0.79
YPL068C		16	  0.71	  0.64	  1.04
iOx559I		0	  0.45	  0.49	  1.66
iIx119I		0	  1.02	  1.12	  0.77
YLR228C	ECM22	12	  1.05	  0.95	  1.01
YGR013W	SNU71	7	  2.12	  1.48	  0.53
iOx225I		0	  1.26	  0.63	  0.64
iKx302I		0	  1.45	  0.86	  0.46
YER099C	PRS2	5	  0.76	  0.90	  1.40
YML102W	CAC2	13	  1.73	  1.41	  0.42
iHx096I		8	  1.30	  0.53	  0.94
iDx173I		0	  1.75	  0.70	  0.50
YGR282C	BGL2	7	  0.82	  0.77	  1.50
YKL188C	PXA2	11	  0.67	  0.58	  2.11
iDx239I		0	  0.75	  1.32	  1.42
YBL050W	SEC17	2	  1.24	  1.29	  0.75
iNx268I		0	  1.12		  0.78
iJx345I		0	  0.90	  1.27	  1.02
iPx451I		0	  0.93	  1.87	  1.05
iJx011I		0	  1.11	  0.67	  0.94
YLR162W		12	  0.40	  0.62	  2.50
YMR120C	ADE17	13	  0.62	  0.94	  1.58
YML103C	NUP188	13	  1.07	  1.57	  0.68
iPx517I		0	  1.28	  0.69	  0.57
YBL051C		2	  1.57	  0.63	  0.57
iOx494I		0	  0.84	  0.63	  1.36
iIx054I		0	  0.91	  1.39	  1.17
iEx131I		0	  0.95		  0.94
YLR163C	MAS1	12	  0.54		  2.00
iOx160I		0	  0.66	  0.61	  1.55
YPL069C	BTS1	16	  0.40	  0.56	  3.00
YLR229C	CDC42	12	  1.32	  1.60	  0.58
YGR014W	MSB2	7	  0.99	  0.99	  0.79
iOx226I		0	  1.69	  1.04	
iKx303I		0	  0.53	  2.07	  2.15
iHx097I		0	  1.46		  0.42
iDx174I		0	  1.75	  2.75	  0.49
YGR283C		7	  1.45	  0.70	  0.70
iJx280I		0	  0.90	  1.04	  1.15
YBR134W		2	  1.50	  0.74	  0.45
iNx269I		0	  1.59	  0.93	  0.68
iJx346I		0	  1.41	  1.74	  0.65
YFR057W		6	  0.70	  0.57	  1.64
YGR015C		7	  0.48	  1.40	  1.83
iPx452I		16	  1.27	  0.95	  0.78
iJx012I		0	  1.22	  0.59	  0.81
YPR086W	SUA7	16	  0.86	  2.09	  1.30
YMR121C	RPL15B	13	  1.28	  0.69	  0.58
YML104C	MDM1	13	  0.65	  1.05	  1.02
iPx518I		0	  0.96	  0.60	  0.93
YBL052C	SAS3	2	  0.60	  1.65	  1.64
iEx132I				  1.09	  0.99
iOx495I		0	  1.37	  0.61	  0.49
iIx055I		0	  1.60	  0.84	  0.49
YKL189W	HYM1	11	  0.56	  0.79	  1.96
iOx161I		0	  0.60	  1.14	  1.45
YNL330C	RPD3	14	  1.45	  0.64	  0.90
iOx227I		0	  1.89	  0.84	  0.65
iKx304I		0	  0.73	  0.74	  1.45
iHx098I		0	  1.57	  0.95	  0.39
iDx175I		0	  0.71		  1.18
YGR284C		7	  1.21	  1.18	  0.71
iJx281I		0	  1.19	  1.01	  0.90
YCL010C		3	  1.22	  0.54	  0.91
YBR135W	CKS1	2	  1.13	  0.62	  0.70
iJx347I		0	  1.14	  1.14	  1.08
iPx453I		0	  0.85	  2.19	  0.80
iLx530I		0	  0.79	  1.63	  1.52
iJx013I		0	  1.18		  0.80
YPR087W		16	  0.62	  0.80	  1.61
YLR164W		12	  0.86	  1.18	  1.27
YMR122C		13	  1.66	  0.44	  0.43
YML105C	SEC65	13	  0.37	  1.06	  1.88
iPx519I		0	  1.11	  0.94	  0.71
YBR070C		2	  2.03	  0.61	  0.45
iOx496I		0	  1.25	  0.70	  0.77
iIx056I		0	  0.96	  0.84	  0.75
iEx133I		0	  0.35	  1.05	  2.42
YPR088C	SRP54	16	  0.89	  0.38	  1.19
YLR165C		12	  0.71	  1.41	  1.39
iOx162I		0	  1.88	  1.03	  0.46
YNL331C	AAD14	14	  1.10	  0.96	  1.40
iOx228I		0	  1.00	  2.27	  1.06
iKx305I		0	  0.69	  2.92	
YGR016W		7	  0.80	  0.60	  1.02
iDx176I		4	  0.64	  0.73	  1.22
iHx099I		0	  0.44	  0.74	  2.50
YGR285C	ZUO1	7	  1.31		  0.62
iJx282I		0	  0.98	  1.56	  1.08
YBL053W		2	  0.37	  0.68	  2.23
YCL011C	GBP2	3	  0.99	  1.12	  0.85
YBR136W	ESR1	2	  0.65		  1.10
iJx348I		0	  0.71	  0.58	  1.51
iPx454I		0	  1.12	  0.49	  0.58
iLx531I		0	  1.39	  1.05	  0.68
iJx014I		0	  1.05	  0.80	  0.82
iPx120I		0	  0.48	  0.38	  1.91
iOx497I		0	  1.29	  3.21	  0.73
iIx057I		0	  0.62		  1.50
iEx134I		0	  0.33	  0.50	  2.15
YLR166C	SEC10	12	  0.92	  1.37	  1.12
YDR320C		4	  1.23	  0.95	  0.79
iOx163I		0	  1.18	  0.80	  0.73
iKx240I		0	  2.06		  0.52
iOx229I		0	  0.68	  0.75	  1.34
iKx306I		0	  0.70	  1.10	  1.22
YML040W		13	  2.04	  1.12	  0.85
YGR017W		7	  0.76	  1.60	  0.96
YMR123W	PKR1	13	  1.44	  0.83	  0.65
iDx177I		0	  1.08	  1.63	  0.86
YML106W	URA5	13	  0.49	  1.02	  1.87
YGR286C	BIO2	7	  1.40	  1.07	  0.72
YBR071W		2	  1.48	  0.55	  0.48
iJx283I		0	  1.65	  0.71	
YBL054W		2	  0.89	  1.02	  1.21
YBR137W		2	  0.52	  1.56	  2.02
iJx349I		0	  0.57	  1.49	  1.71
YGR018C		7	  0.88	  1.12	  0.98
YML041C		13	  1.07	  1.04	  0.78
YPR089W					  0.61
iPx455I		0	  0.92	  0.67	  0.81
iLx532I		0	  0.68	  1.04	  1.41
iJx015I		0	  0.75	  1.07	  1.45
iPx121I		0	  1.18	  1.31	  0.71
YML107C		13	  0.70	  2.17	  1.17
YNL332W	THI12	14	  0.75	  0.94	  1.67
YBL055C		2	  0.71	  0.82	  1.04
YBR138C	HDR1	2	  0.85	  1.38	  1.15
iOx498I		0	  1.55	  0.69	  0.86
iIx058I		0	  0.71	  0.83	  1.23
iEx135I		0	  0.83	  0.88	  0.96
iOx164I		0	  1.18	  0.61	  0.68
iKx241I		0	  1.80	  0.76	  0.62
YCL012W		3	  0.73		  1.42
iKx307I		0	  1.22	  0.90	  0.61
YMR124W		13	  1.21	  0.92	  0.51
iDx178I		0	  1.96		  0.46
YGR287C		7	  0.95	  1.69	  1.35
YBR072W	HSP26	2	  1.49	  1.18	  0.83
iJx284I		0	  1.77	  1.08	  0.63
YCR030C		3	  1.21	  0.94	  0.73
iPx390I		0	  1.40	  0.80	  0.55
YDR321W	ASP1	4	  1.09		  0.85
iPx456I		0	  0.63	  1.20	  1.77
iLx533I		0	  0.81	  1.46	  1.10
iJx016I		0	  1.64	  1.51	  0.48
YLR167W	RPS31	12	  0.78	  0.83	  1.18
iPx122I		0	  0.80	  0.62	  1.01
YNL333W	SNZ2	14	  1.24	  1.23	  1.02
iEx070I		0	  0.53	  1.22	  1.50
iEx136I				  1.52	  0.88
iOx499I		0	  0.66	  1.72	  1.53
iIx059I		0	  0.91	  1.19	  1.05
YLR168C	MSF1'	12	  0.65	  0.82	  1.63
iOx165I		0	  0.60	  0.77	  1.87
iKx242I		0	  0.56		  1.45
YNL334C	SNO2	14	  1.19	  0.74	  1.06
iKx308I		0	  1.64	  0.76	  0.46
YML042W	CAT2	13	  1.18	  0.56	  0.98
YGR019W	UGA1	7	  0.93	  0.70	  1.20
YMR125W	STO1	13	  0.70	  0.52	  1.66
iDx179I		0	  0.93	  1.48	  0.76
YML108W		13	  0.78	  0.80	  1.19
YBR073W	RDH54	2	  1.14	  0.85	  0.78
iJx285I		0	  0.81	  1.49	  1.08
YCR031C	RPS14A	3	  1.18	  0.74	  0.71
YBL056W	PTC3	2	  0.96	  1.18	  1.03
iPx391I		0	  0.34	  1.68	  2.76
YMR060C	TOM37	13	  1.26	  0.66	  0.56
YBR139W		2	  0.61	  0.64	  1.35
YML043C	RRN11	13	  0.86	  2.03	  1.69
YDR322W	MRPL35	4	  0.65	  0.99	  1.32
iLx534I		12	  0.93	  1.19	  0.97
iPx457I		0	  1.28	  2.13	  0.75
iJx017I		0	  1.18	  0.77	  0.81
YMR126C		13	  0.51	  0.64	  1.96
iPx123I		0	  1.16	  1.97	  0.60
iLx200I		0	  0.74	  0.79	  0.77
iEx071I		5	  0.47	  0.54	  2.37
YBL057C		2	  1.01	  1.46	  0.96
iEx137I		0	  1.67	  1.78	  0.47
YGR288W	MAL13	7	  1.12	  0.97	  0.95
YDR323C	PEP7	4	  0.80	  1.17	  0.65
iOx166I		0	  1.26	  0.62	  0.84
iGx320I		0	  0.33	  1.49	  2.14
YCL014W	BUD3	3	  1.30	  0.93	  0.66
iKx309I		0	  1.46	  1.18	  0.43
YIL120W		9	  0.81	  1.27	  1.70
YML109W	ZDS2	13	  1.12	  0.97	  0.84
YGR289C	MAL11	7	  0.93	  0.67	  1.10
YBR074W		2	  0.95	  1.07	  1.15
iJx286I		10	  0.83	  0.82	  1.12
iPx392I		16	  0.75	  0.70	  0.74
YHR180W		8	  0.85	  0.93	  1.24
YDL240W	LRG1	4	  0.85	  0.62	  1.34
YLR169W				  1.84	
iPx458I		0	  0.56	  1.78	  1.31
iLx535I		0	  1.19	  2.00	  0.90
iJx018I		0	  0.34	  0.62	  3.30
YMR127C	SAS2	13	  1.20	  0.58	  0.78
iPx124I		0	  1.03	  0.51	  0.85
iLx201I		0	  0.62	  0.95	  1.32
YOR310C	NOP58	15	  1.25	  0.51	  1.20
YNL335W		14	  1.10	  0.55	  1.05
YNL001W	DOM34	14	  0.94	  1.12	  0.95
iEx072I				  0.88	  1.15
iEx138I		0	  1.42	  0.97	  0.55
YDR324C		4	  1.45	  0.58	  0.66
YNL270C	ALP1	14	  3.34	  0.91	  0.47
YCR032W	BPH1	3	  0.97	  2.27	
iOx167I		0	  0.68	  1.23	  1.58
iKx244I		0	  1.62		  0.58
iGx321I		0	  0.87	  1.67	  1.18
YMR061W	RNA14	13	  0.96	  0.59	  1.06
YIL121W		9	  0.51	  0.66	  1.72
YNL002C	RLP7	14	  1.11	  0.58	  0.79
iJx287I		0	  0.75	  1.54	  1.05
YBR075W		2	  0.70	  0.88	  1.02
YBL058W	SHP1	2	  1.75	  1.42	  0.81
iPx393I		0	  0.87	  1.21	  0.85
iLx470I		0	  1.83	  2.11	  0.34
iFx030I		0	  0.52	  1.29	  1.72
YHR181W		8	  0.90	  0.59	  1.04
YCL016C		3	  1.65	  1.55	  0.54
YMR062C	ECM40	13	  0.74	  2.26	  1.28
YDL241W		4	  1.31	  0.78	  0.65
YFR024C-A		6	  0.76	  0.73	  1.17
iPx459I		0	  0.68	  0.99	  0.98
iLx536I		0	  1.00	  0.55	  1.09
iJx019I		0	  0.51	  1.51	  2.15
iPx125I		0	  0.92	  0.69	  1.33
iLx202I		0	  1.33	  0.72	  0.56
YOR311C		15	  1.49	  0.73	  0.65
YNL336W	COS1	14	  1.10	  1.20	  1.44
iGx590I		0	  1.47	  1.34	  0.69
iEx073I		0	  1.07	  0.67	  0.72
iEx139I		0	  1.46	  1.08	  0.80
YNL271C	BNI1	14	  1.02	  2.89	
YCR033W		3	  1.14	  1.15	  0.65
iOx168I		0	  1.14	  0.97	  0.96
iKx245I		0	  1.15	  0.87	  0.87
iGx322I		0	  0.41	  1.23	  2.54
YNR020C		14	  0.88	  0.84	  1.45
YIL122W		9	  0.80	  1.23	  1.32
YML045W		13	  1.96	  1.48	  0.82
YNL003C	PET8	14	  0.55	  1.39	  1.83
YMR128W	ECM16	13	  0.99	  1.43	  0.83
iJx288I		0	  0.89	  0.90	  0.85
YBR076W	ECM8	2	  0.66	  0.66	  1.47
YBL059W		2	  1.28	  0.52	  0.79
iPx394I		16	  1.08	  1.59	  0.70
iLx471I		0	  1.22	  0.71	  0.72
iFx031I		0	  0.86	  0.97	  1.01
YHR182W		8	  1.10	  0.66	  0.90
YCL017C	NFS1	3	  1.29	  1.92	  0.77
YDL242W		4	  0.50	  1.40	  0.68
iPx060I		0	  1.35	  0.49	  0.95
iLx537I		0	  1.35		  0.59
YDR325W	YCG1	4	  0.87	  1.03	  1.06
iPx126I		0	  1.13	  0.57	  0.82
iLx203I		0	  1.42	  1.54	  0.67
YOR312C	RPL20B	15	  1.11	  0.60	  0.89
YNL337W		14	  1.23	  1.15	  1.35
YBR077C		2	  1.32	  2.35	  0.51
iGx591I				  1.27	
iEx074I		0	  1.12	  1.11	  0.69
YDR260C	SWM1	4	  1.69	  0.82	  0.50
iKx180I		0	  0.56	  0.69	  1.68
YDL243C	AAD4	4	  0.78		
YDR326C		4	  0.86		  1.08
YNL272C	SEC2	14	  0.61	  1.68	  2.27
YCR034W	FEN1	3	  0.48	  0.82	  2.31
iOx169I		0	  1.11	  0.82	  0.91
iKx246I		0	  1.48	  1.03	  0.69
iGx323I		0	  0.71	  0.45	  1.28
YMR063W	RIM9	13	  1.87		  0.41
YIL123W	SIM1	9	  1.34	  1.28	  0.78
YML046W	PRP39	13	  1.17	  0.63	  0.68
YMR129W	POM152	13	  0.88	  2.36	  1.07
iJx289I		0	  0.91	  2.57	  0.84
YCR035C	RRP43	3	  0.54	  1.58	  1.74
iPx395I		0	  1.30	  1.78	  0.52
iLx472I		0	  0.96	  1.18	  1.02
iFx032I		0	  1.89	  0.84	  0.33
YHR183W	GND1	8	  0.60	  0.65	  1.45
iPx061I		0	  0.41	  1.64	  1.90
YML047C		13	  1.27	  0.56	  0.76
iLx538I		0	  0.65	  2.24	  1.61
iPx127I		0	  0.52	  0.51	  1.60
iLx204I		0	  0.39	  0.66	  2.54
YOR313C	SPS4	15	  1.35	  0.57	  0.76
YNL338W		14	  1.18	  0.76	  1.08
YNR021W		14	  1.38	  1.12	
YNL004W				  0.69	  1.27
iGx592I		0	  1.73	  1.77	
iEx075I		0	  1.13	  0.66	  0.72
YDR261C	EXG2	4	  1.53	  0.94	  0.58
iKx181I		0	  0.65	  1.50	  1.47
iKx247I		0	  1.33	  1.56	  0.79
iGx324I		0	  1.16	  0.83	  0.65
YCL018W	LEU2	3	  1.73		  0.48
YMR064W				  1.62	
iMx430I		0	  1.05	  1.68	  1.06
YNL339C	YRF1-6	14	  1.06	  0.52	
YNR022C		14	  0.91	  0.47	  1.04
YIL124W	AYR1	9	  1.16	  1.29	  0.82
YNL005C	MRP7	14	  0.99	  1.50	  0.84
YBR078W	ECM33	2	  1.03	  0.84	  1.08
iBx110I		0	  0.98	  0.95	  1.41
iPx396I		0	  0.97	  1.04	  0.95
iLx473I		0	  1.18	  1.20	  0.74
iFx033I		0	  1.86	  0.69	  0.39
YHR184W	SSP1	8	  0.58	  2.34	  2.13
YDL244W	THI13	4	  0.67	  1.89	  1.37
iPx062I		0	  1.00	  0.71	  0.75
iLx539I		0	  1.12	  0.66	  1.17
YDR327W		4	  1.03	  1.22	  0.69
YNL273W	TOF1	14	  0.71	  1.91	
iPx128I		0	  1.35	  0.83	  0.64
iLx205I		0	  0.71	  0.80	  1.18
YBR079C	RPG1	2	  0.52	  1.35	  1.57
iGx593I		0	  2.29	  0.75	  0.57
iEx076I		0	  1.82	  0.39	  0.78
YHR185C	ADY1	8	  0.40	  0.94	  3.09
iKx182I		11	  0.85	  1.01	  1.28
YDL245C	HXT15	4	  0.94	  1.89	  0.97
YDR328C	SKP1	4	  1.87	  2.36	  0.39
YNL274C		14	  0.96	  0.77	  1.43
YCR036W	RBK1	3	  0.55	  0.59	  1.46
iKx248I		0	  1.47	  1.03	  0.67
iGx325I		0	  1.35	  1.26	  0.56
YCL019W		3	  1.29	  1.49	  0.71
iMx431I		0	  0.87	  1.14	  0.85
YMR065W	KAR5	13	  0.61	  0.67	
YJR100C		10	  1.05	  0.69	  0.87
YIL125W	KGD1	9	  1.15	  1.07	  0.76
YML048W				  0.86	  0.51
YIL082W-A		9	  0.80	  1.53	  1.14
YOR314W		15	  1.35	  0.97	  0.84
YCR037C	PHO87	3	  0.70	  1.90	  1.48
iBx111I		0	  1.26	  1.33	  1.19
iPx397I		0	  0.89	  0.69	  1.04
iLx474I		0	  0.54	  0.79	  1.51
iFx034I		0	  1.23	  0.80	  0.52
YDR262W		4	  0.73	  1.38	  1.29
iPx063I		0	  0.68	  0.58	  1.19
iLx140I		0	  0.33	  0.44	  2.53
YML049C	RSE1	13	  0.81		
iPx129I		0	  0.62	  1.99	  1.85
iLx206I		0	  1.42	  2.03	  0.55
YNR023W	SNF12	14	  0.85	  1.72	  1.34
iGx594I		0	  0.74	  1.22	  1.38
iEx077I		0	  1.02	  0.67	  0.63
YNL006W	LST8	14	  0.74	  0.61	  0.58
YHR186C		8	  1.07	  0.68	  0.72
YDR263C	DIN7	4	  0.58	  0.74	  1.82
YDL246C				  0.80	
iKx183I		0	  0.90	  0.67	  1.43
iGx260I		0	  1.09	  0.65	  0.56
YDR329C	PEX3	4	  0.77	  0.52	
iKx249I		0	  0.49	  1.12	  1.99
iGx326I		0	  0.81	  1.36	  0.88
YIL060W		9	  1.00	  0.79	  1.51
iMx432I		0	  0.57	  1.25	  2.24
YMR066W	SOV1	13	  0.56		  1.61
YIL126W	STH1	9	  0.65	  1.08	  0.99
YNL007C				  0.52	
iBx380I		0	  1.03	  1.57	  1.14
YOR315W		15	  0.93	  1.09	  1.31
YDL180W		4	  1.08	  0.43	  0.72
YCR038C	BUD5	3	  1.31	  0.57	  0.87
YIL061C	SNP1	9	  1.53		  0.56
iPx398I		0	  1.35	  0.69	  0.55
iLx475I		0	  1.54	  1.19	  0.53
iFx035I		0	  0.45	  1.23	  2.10
iBx112I		0	  0.84	  0.73	  0.96
YMR067C		13	  0.44	  0.68	  2.01
iPx064I		0	  0.57	  0.52	  1.97
iLx141I		0	  1.15	  0.83	  0.85
YIL127C		9	  1.12	  0.73	  0.78
YOR250C	CLP1	15	  1.19	  0.43	  0.98
YNL275W		14	  1.04	  0.81	  1.23
iLx207I		0	  1.59	  0.70	  0.50
YOR316C	COT1	15	  0.91	  0.93	  1.29
YJR101W		10	  0.66	  1.09	  1.07
YNR024W		14	  0.65	  0.61	  1.48
iGx595I		0	  1.32	  0.86	  0.53
iEx078I		0	  1.28	  0.52	  0.62
YDR264C	AKR1	4	  1.25	  1.30	  0.68
iKx184I		0	  0.98		  0.99
iGx261I		0	  1.82	  0.60	  0.42
YNL276C		14	  1.30	  1.75	  0.84
iGx327I		0	  0.79	  1.16	  1.09
iMx433I		0	  0.41	  1.03	  2.51
YNR025C		14	  0.71	  0.81	  1.88
YJR102C		10	  1.04	  0.60	  0.80
YNL008C		14	  0.82	  1.61	  0.89
iBx381I		0	  0.83	  0.63	
YDL181W	INH1	4	  1.33	  0.74	  0.70
YCR039C	MATALPHA2	3	  1.20	  0.76	  1.28
YIL062C	ARC15	9	  1.51	  0.57	  0.75
iPx399I		0	  1.52	  0.73	  0.46
iLx476I		0	  1.98	  0.60	  0.57
iFx036I		0	  0.86	  0.79	  1.57
iDx630I		0	  0.92		  1.12
iBx113I		0	  0.32		  2.87
YHR187W	IKI1	8	  0.96	  0.65	  0.78
YDL247W		4	  1.45	  0.64	  0.56
iPx065I		0	  1.27	  1.15	  0.60
iLx142I		0	  0.88	  0.77	  1.28
YOR251C		15	  1.17	  0.53	  0.74
iLx208I		0	  1.12	  0.64	  0.72
iAx090I		0	  1.94		  0.80
iGx596I		0	  1.48	  1.36	  0.43
iEx079I		0	  1.25		  0.63
