NAME	GENE	CHR	ya1s4p2_106	ya1s4p2_0114FR	ya1s4p2_0108FR	ya1s4p2_0110
YLR016C			0.98	0.98	1.13	0.99
YMR241W	YHM2		1.33	0.84	0.83	1.16
YDR184C	ATC1		0.66	1.57	1.26	0.72
YDL167C	NRP1		0.65	1.63	1.39	0.69
YNL196C	SLZ1		1.27	0.58	0.68	1.09
YBR255W			1.22	0.75	0.83	1.22
YER141W	COX15		1.03	1.03	0.97	1.07
YMR242C	RPL20A		0.46	3.56	3.33	0.44
YOR170W			1.46	0.69	0.75	1.14
YMR308C	PSE1		0.48	2.45	1.94	0.64
YOR236W	DFR1		0.66	1.63	1.47	0.65
YBR256C	RIB5		1.75	0.57	0.59	1.89
YER142C	MAG1		1.56	0.65	0.57	1.59
YGR070W	ROM1		2.24	0.41	0.46	1.96
YOR171C	LCB4		1.32	0.77	0.67	1.46
YGL053W			2.77	0.44	0.45	2.51
YDR505C	PSP1		0.99	0.88	0.88	0.97
YHL011C	PRS3		0.44	2.54	2.07	0.49
YKR059W	TIF1		0.69	2.41	1.92	0.93
YGR136W			1.87	0.63	0.8	1.37
YGL119W	ABC1		0.98	1.07	1.1	1.09
YJR022W	LSM8		1.44	0.85	0.86	1.31
YJL005W	CYR1		1.19	1.26	1.18	0.81
YDR185C			0.86	0.97	1.15	0.76
YPL111W	CAR1		0.71	1.28	1.35	0.75
YBR190W			0.51	1.68	1.45	0.55
YGR071C			0.57	1.5	1.35	0.58
YNL197C	WHI3		0.64	1.68	1.51	0.64
YGL054C	ERV14		0.93	1.26	1.37	0.89
YLR285W			0.5	1.99	2.27	0.49
YMR243C	ZRC1		0.56	2.33	2.01	0.55
YJR023C			1.65	0.58	0.72	1.43
YIL048W	NEO1		0.63	1.64	1.39	0.72
YJL006C	CTK2		1.04	0.89	0.93	0.99
YOL154W			0.8	1.29	1.37	0.78
YMR309C	NIP1		0.35	2.96	2.49	0.47
YPL112C			0.98	1.11	1.09	1
YOR237W	HES1		0.67	1.36	1.3	0.69
YLR017W	MEU1		0.65	2.01	1.82	0.61
YER119C-A			0.72	1.22	1.14	0.78
YEL060C	PRB1		1.25	0.81	0.99	0.88
YLR286C	CTS1		0.23	5.49	4.56	0.23
YDL168W	SFA1		1.32	0.68	0.75	1.44
YDR506C			1.29	0.54	0.71	1.62
YOL155C			0.76	1.67	1.8	0.81
YGR137W			1.95	0.64	0.81	1.29
YLR018C			0.8	1.38	1.38	0.77
YDR186C			1.19	0.79	0.98	1.12
YBR191W	RPL21A		0.49	3	2.8	0.36
YDL169C	UGX2		1.74	0.45	0.55	1.66
YNL198C			0.61	1.17	0.86	0.77
YBR257W	POP4		1.45	0.82	0.8	1.47
YGR138C			0.63	1.54	1.66	0.7
YER143W	DDI1		1.15	0.77	0.84	1.19
YDR440W	DOT1		0.97	1.06	1.09	0.89
YJR024C			0.72	1.4	1.58	0.75
YIL049W	DFG10		2.04	0.49	0.56	1.69
YOR172W			0.45	1.69	1.63	0.5
YJL007C			1.26	0.78	1.07	0.96
YPR130C			1.09	1.03	1.13	1.04
YHL012W			0.91	0.94	0.85	0.91
YPL113C			0.9	0.85	0.75	1.25
YOR238W			1.18	0.87	0.88	1.03
YBR258C			1.47	0.69	0.71	1.61
YEL061C	CIN8		1.16	0.7	0.71	1.3
YLR287C			1.06	1.04	0.9	1.03
YER144C	UBP5		1.26	0.76	0.83	1.28
YDR441C	APT2		1.49	0.69	0.57	1.45
YGR072W	UPF3		1.03	0.82	0.82	1.09
YHR030C	SLT2		1.21	1.24	1.3	0.66
YGL055W	OLE1		0.9	1.96	1.15	1.17
YDR507C	GIN4		0.74	1.21	1.34	0.92
YHL013C			0.62	1.4	1.22	0.72
YMR244W			1.25		1.17	0.52
YDR187C			1	1.13	1.19	0.9
YBR192W	RIM2		0.79	1.23	1.22	0.79
YGR073C			0.84	0.95	1.06	0.89
YNL199C	GCR2		0.78	1.53	1.19	0.98
YGL056C	SDS23		0.52	2	1.52	0.65
YOL090W	MSH2		0.86	1.08	0.99	0.95
YJR025C	BNA1		4.03	0.26	0.29	3.73
YOR173W			2.39	0.45	0.5	1.89
YJL008C	CCT8		0.53	1.74	1.43	0.68
YPR131C	NAT3		1.51	0.72	0.85	1.26
YOL156W	HXT11		0.59	2.09	1.34	0.69
YBR193C	MED8		1.49	0.85	0.94	1.27
YOR239W			0.74	1.24	1.06	0.94
YLR019W			1.05	0.99	1.09	1.04
YLR288C	MEC3		1.32	0.83	0.69	1.33
YER145C	FTR1		0.26	3.3	2.88	0.36
YHR031C	RTT104		1.47	0.5	0.51	1.46
YDR508C	GNP1		0.55	2.06	1.8	0.59
YOL157C			0.72	0.83	0.84	0.9
YHL014C	YLF2		0.62	1.45	1.29	0.66
YGR139W			0.67	0.99	1.3	0.65
YNL120C			0.83	1.13	0.83	1.25
YMR245W			1.8	0.47	0.48	2.05
YPL114W			1.43	0.72	0.72	1.35
YGL057C			1.35	0.7	0.78	1.54
YMR180C	CTL1		2.49	0.44	0.53	2.14
YEL062W	NPR2		1.21	0.87	0.91	1.12
YBR259W			0.79	1.53	1.43	0.74
YFL020C	PAU5		1.41	0.74	0.85	1.13
YDR442W			0.84	1.27	1.57	0.65
YOL091W	SPO21		1.68	0.56	0.62	1.3
YOR174W	MED4		1.29	0.66	0.68	1.31
YPL115C	BEM3		0.62	1.8	1.74	0.59
YHR214W-A			0.5	3.54	3.43	0.34
YEL063C	CAN1		0.95	1.36	1.44	0.71
YDR188W	CCT6		0.79	1.53	1.51	0.86
YDR443C	SSN2		0.94	1.09	1.13	0.81
YGR074W	SMD1		0.74	1.43	1.53	0.64
YOR175C			0.6	1.72	1.49	0.73
YOL158C			0.58	2.11	1.87	0.49
YNL121C	TOM70		0.7		1.04	1.04
YJR026W				0.06	0.1	21.96
YMR246W	FAA4		0.38	3.19	2.53	0.5
YJL009W			0.59	1.83	1.85	0.52
YPR132W	RPS23B		0.6	2.46	2.45	0.62
YBR194W			1.72	0.51	0.56	1.76
YGR075C	PRP38		0.82	1.31	1.41	0.76
YER080W			1.43	0.7	0.83	1.59
YMR181C			2.3	0.44	0.44	2.36
YLR289W	GUF1		1.03	0.93	0.86	1.13
YER146W	LSM5		0.84	1.43	1.69	0.72
YOL092W			0.93	1.24	1.15	1.02
YMR247C			1.11	1.4	1.07	0.75
YPL050C	MNN9		0.79	1.54	1.28	0.72
YHR032W			1.34	0.53	1.05	0.61
YPR133C			0.49	2.5	2.89	0.46
YHL015W	RPS20		0.51	3.9	3.24	0.48
YDR509W			0.83	0.92	1	0.75
YBR195C	MSI1		1.18	0.93	0.98	1.05
YEL064C			0.9	0.93	0.82	1.01
YDR189W	SLY1		0.53	1.7	1.62	0.68
YER147C			1.02	0.93	0.94	1.01
YGL058W	RAD6		0.96	1.18	1.18	0.9
YOL159C			3.04	0.27	0.29	3.31
YHL016C	DUR3		0.73	1.16	1.59	0.5
YFL021W	GAT1		1.16	1.04	1.41	0.55
YNL122C			1.62	0.6	0.59	1.64
YJR027W			12.59	0.09	0.13	13.4
YLR210W	CLB4		1.04	1.04	1.16	0.78
YPL116W	HOS3		1.3	0.79	0.97	1.02
YGR076C	MRPL25		0.84	1.4	1.34	0.8
YER081W	SER3		0.16	7.87	6.76	0.18
YMR182C	RGM1		0.78	1.36	1.77	0.73
YFL022C	FRS2		0.62	2.03	1.8	0.61
YKL170W	MRPL38		1.18	0.95	0.87	1.23
YDR444W			0.37	2.74	3.9	0.29
YOL093W			0.83	1.31	1.29	0.88
YDR110W	FOB1		0.61	1.37	1.19	0.73
YOR176W	HEM15		0.74	1.39	1.4	0.72
YHR033W			1.27	0.55	0.93	1.12
YLR211C			0.98	1.08	1.02	1.09
YPL117C	IDI1		0.74	1.65	1.34	0.86
YBR196C	PGI1		0.73	1.8	1.38	1.01
YER082C			0.82	1.32	1.07	0.82
YDR445C			1.03	0.93	1.07	0.77
YOL094C	RFC4		0.87	1.16	1.06	0.89
YOR177C			1.6	0.51	0.52	1.59
YHR034C			1.14	0.54	1.1	0.67
YDR111C			0.6	1.26	1.18	0.66
YGL059W			1.57	0.6	0.66	1.31
YFL018W-A			1.18	0.97	1.11	1.11
YJL200C			0.7	1.28	1.11	0.97
YJR028W			15.56	0.06	0.09	20.59
YPL051W	ARL3		1.5	0.64	0.73	1.62
YPR134W	MSS18		1.8	0.53	0.53	2.07
YCLX01W			0.99	1.01	1.09	1.06
YGR077C	PEX8		1.64	0.68	0.63	1.51
YMR183C	SSO2		1.1	0.95	0.82	1.3
YEL065W	SIT1		0.16	6.51	6.19	0.16
YBL100C			0.91	1.21	0.94	1.23
YER148W	SPT15		1.05	0.95	0.89	1.16
YKL171W			1	1	0.86	0.83
