NAME	GENE	CHR	ya1s4p2_106	ya1s4p2_0114FR	ya1s4p2_0108FR	ya1s4p2_0110
YHR101C	BIG1		1.08	0.87	0.97	0.99
YGL126W	SCS3		1.03	0.91	1.05	1.05
YNL269W			0.99	0.88	1	1.06
YLL007C			1.13	0.79	0.85	1.18
YDR192C	NUP42		0.71	1.65	1.73	0.68
YNR018W			1.26	0.78	0.95	1.1
YMR315W			0.87	1.16	1.13	0.97
YDL175C			1.17	1.01	0.91	1.18
YPR201W						3.58
YDR258C	HSP78		2.43	0.37	0.4	2.27
YGL061C	DUO1		1.26	0.82	0.84	1.22
YBR263W	SHM1		0.57	2.09	1.76	0.71
YGL127C	SOH1		1.6	0.52	0.66	1.94
YJR030C			1.14	0.81	0.97	1.14
YPL198W	RPL7B		0.71	1.85	1.72	0.77
YJL013C	MAD3		0.88	0.96	0.9	1.11
YOR244W	ESA1		1.34	0.67	0.57	1.46
YBR264C	YPT10		1.07	1.06	1.05	0.97
YLR293C	GSP1		0.62	1.79	1.65	0.76
YPL199C			0.93	1.17	1.14	1.08
YKR067W			1	0.91	0.87	1.08
YGR144W	THI4		1.6	0.55	0.79	1.12
YMR250W			3.55	0.23	0.23	4.03
YNR019W	ARE2		0.28	3.3	2.84	0.32
YMR316W			0.8	1.1	1.09	0.94
YPR202W			1.85	0.59	0.6	2.04
YDR259C	YAP6		1.33	0.9	0.85	1.02
YKR068C	BET3		1.48	0.79	0.85	1.46
YER150W	SPI1		3.74	0.33	0.37	2.11
YGL128C			1.01	0.8	0.81	0.74
YJR031C	GEA1		1.28	0.75	0.87	1.18
YIL056W			1.07	1.06	0.96	1
YDR513W	TTR1		3.64	0.36	0.39	3.65
YLR359W	ADE13		0.13	8.98	6.37	0.2
YOL162W			2.31			
YHR102W	NRK1		0.62	1.81	1.42	0.69
YLR025W	SNF7		1.59	0.6	0.62	1.5
YLL008W	DRS1		0.46	2.09	1.59	0.64
YDR193W			1.16	0.91	0.78	1.18
YLR294C			2.84	0.53	0.59	2.18
YER151C	UBP3		1.08	1.04	1.07	0.91
YDL176W			0.66	1.32	1.25	0.73
YIL057C			0.58	1.53	1.64	0.49
YOR180C	DCI1		1.04	0.81	0.86	1.09
YGL062W	PYC1		1.26	1.38	1.07	0.91
YDR514C			1.23	0.83	0.8	1.1
YHL020C	OPI1		0.64	1.56	1.72	0.5
YGR145W			0.39	2.42	1.65	0.57
YOR246C			0.81	1.34	1.33	0.77
YLR026C	SED5		1.13	0.77	0.74	1.05
YMR251W			1.05			
YLL009C	COX17		1.67	0.89	0.91	1.48
YJL014W	CCT3		0.51	1.92	1.59	0.59
YDR194C	MSS116		0.75	1.93	1.21	0.77
YPL120W	VPS30		0.92	1.11	0.96	0.9
YMR317W			1.13	0.83	0.78	1.25
YDL177C			1.12	0.9	0.99	0.91
YPR203W			1.87	0.64	0.67	1.79
YBR265W	TSC10		0.8	1.34	1.38	0.76
YGR146C			1.31	1	0.98	1.04
YGL129C			1	1.04	0.88	1.06
YMR252C			1.7	0.55	0.62	1.61
YJL015C			2.12	0.46	0.65	1.4
YOL163W			2.03			
YMR318C			2.03	0.57	0.51	2.64
YPL121C	MEI5		0.76	1.09	1.12	0.62
YHR103W	SBE22		0.35	2.43	2.25	0.45
YBR266C			0.62	1.31	1.05	0.86
YLR295C	ATP14		2.73	0.54	0.51	2.45
YER152C			0.73	1.42	1.78	0.51
YGR080W	TWF1		1.2	0.9	0.84	1.26
YGL063W	PUS2		1.19	0.84	1.09	0.79
YHL021C			2.17	0.43	0.42	1.99
YKR069W	MET1		1.25	0.57	0.62	1.16
YLR027C	AAT2		0.76	1.61	1.65	0.62
YJR032W	CPR7		0.99	1.01	1.01	1.06
YGR081C			1.23	0.88	0.77	1.34
YPR204W			1.86	0.74	0.65	1.93
YGL064C			0.97	0.99	1.13	0.94
YGR147C	NAT2		0.87	1.28	1.2	0.79
YMR253C			1.58	0.47	0.55	1.54
YJR033C			1.1	0.82	0.82	1
YIL058W			1.21	0.8	0.78	
YOR181W	LAS17		0.52	1.8	2.21	0.4
YDR515W	SLF1		0.98	0.9	0.76	1.16
YOL164W			1.07	0.76	0.74	1.19
YMR319C	FET4		2.48	0.41	0.56	2.05
YPL122C	TFB2		0.72	1.42	1.27	0.81
YHR104W	GRE3		1.24	0.97	0.8	1.31
YOR247W	SRL1		1.88	0.74	0.64	1.81
YDR195W	REF2		0.97	1.02	0.97	0.94
YER153C	PET122		0.73	0.93	1.19	0.63
YDL178W	AIP2		0.72	1.38	1.2	0.85
YIL059C			1.28	0.61	0.7	1.22
YOR182C	RPS30B		0.63	1.52	1.73	0.57
YDR516C			0.92	1.27	1.02	1.04
YOL165C	AAD15		5.9	0.19	0.23	4.75
YHL022C	SPO11		0.78	0.84	0.92	0.84
YLR028C	ADE16		0.77	1.76	1.72	0.52
YJL016W			1.56	0.61	0.79	1
YDR196C			1.84	0.67	0.67	1.87
YGL065C	ALG2		1.04	1	0.94	0.73
YBR267W			0.58	1.69	1.28	0.75
YEL070W			1.19	0.67	0.59	1.45
YGR148C	RPL24B		0.64	2.45	2.72	0.61
YDR450W	RPS18A		0.52	3.01	2.25	0.53
YLR296W			0.82	0.81	0.9	0.96
YMR254C			1.16		0.62	1.35
YMR306C-A			1.36	0.68	0.69	1.45
YPL123C	RNY1		2.71	0.44	0.43	2.48
YOR248W			2.52	0.54	0.53	2.36
YHR105W			1.5	0.7	0.71	1.32
YDR451C			1.69	0.55	0.65	1.44
YDL179W	PCL9		0.4	2.46	2.13	0.43
YGR082W	TOM20		0.66	1.87	1.94	0.71
YDL100C			1.15	1.24	1.03	1.3
YOL166C			0.94		0.62	1.08
YHL023C			1.11	0.86	1.25	1.16
YOR249C	APC5		0.84	0.95	0.84	1.06
YLR029C	RPL15A		0.64	2.96	3.52	0.48
YJR034W	PET191		1.38	0.68	0.75	1.39
YJL017W			1	0.96	1.02	0.96
YPR140W			1.37	0.72	0.7	1.28
YGR083C	GCD2		0.53	1.74	1.51	0.57
YBR268W	MRPL37		0.88	1.14	1.16	0.96
YEL071W			0.69	1.7	1.67	0.72
YLR297W			2.82	0.38	0.56	1.96
YER154W	OXA1		0.7	1.58		0.6
YHR040W			1.06	0.88	1.21	1.07
YOR183W			0.69	1.57	1.52	0.65
YPR141C	KAR3		0.91	1.01	0.95	1.04
YDR517W	GRH1		0.9	1.11	1.16	0.77
YHR106W	TRR2		1.2	0.9	0.93	1.04
YBR269C			2.49	0.41	0.5	1.92
YDR197W	CBS2		1.43	0.74	0.71	1.58
YLR298C	YHC1		1.45	0.7	0.88	1.15
YER155C	BEM2		0.79	1.2	1.17	0.88
YHR041C	SRB2		1.44	1.42	1.35	0.73
YGL066W			1.55	1.1	0.97	0.59
YDL101C	DUN1		1.46	0.68	0.67	1.3
YGR149W			1.66	0.59	0.62	1.52
YHR107C	CDC12		1.29	0.7	0.68	1.49
YNL130C	CPT1		0.6	1.68	1.75	0.65
YMR255W	GFD1		2.42	0.45	0.5	2.05
YJR035W	RAD26		0.85	1.02	1.01	0.81
YJL018W			0.63	1.47	1.31	0.69
YDR198C			1.16	0.96	0.84	1.18
YPL124W	NIP29		1.42	0.76	0.92	1.1
YGR084C	MRP13		1.86	0.59	0.56	1.67
YMR190C	SGS1		1.14	0.71	0.8	1.13
YEL072W			2.7	0.29	0.35	2.78
YDR452W			0.74	1.69	1.69	0.62
YMR256C	COX7		2.57	0.48	0.48	2.16
YJR036C			1.12	0.69	0.7	1.13
YOR184W	SER1		0.19	6.41	5.95	0.22
YPR142C			1.04	0.93	0.91	1.12
YHL024W	NOS1		2.3	0.55	0.77	1.15
YDR518W	EUG1		0.56	2	1.9	0.52
YEL073C			1.27	1.01	1.16	1
YDR453C			1.25	0.92	0.85	1.09
YER156C			0.56	1.63	1.54	0.62
YOR185C	GSP2		0.98	1.31	1.28	0.84
YGL067W			0.77	1.54	1.7	0.76
YFL030W			8.52	0.11	0.13	8.03
YMR251W-A	HOR7		3.55	0.52	0.63	2.47
YJL019W			0.7	1.23	1.3	0.77
YPL125W			1.02	1.33	1.18	0.8
YGR085C	RPL11B		0.49	2.71	2.78	0.44
YER090W	TRP2		0.83	1.31	1	1.13
YLR299W	ECM38		1.82	0.54	0.59	1.52
YMR257C	PET111		1.1	1.19	1.14	0.74
YHR042W	NCP1		2.21	0.31	0.23	3.76
YHL025W	SNF6		1.23	0.96	0.99	0.84
YDL102W	CDC2		0.92	1.08	0.99	0.94
YDR519W	FKB2		0.67	1.43	1.37	0.81
YCLX10C			0.43	2.35	2.63	0.37
YNL131W	TOM22		0.99	1.12	1.22	1.06
YHR108W			0.58	1.35	1.46	0.59
YER091C	MET6		0.33	4.05	3.37	0.38
YDR199W			1.64	0.53	0.64	1.35
YDR454C	GUK1		0.53	2.5	2.3	0.55
YHR043C	DOG2		2.78	0.35	0.33	2.9
YDR120C	TRM1		0.62	1.47	1.06	0.92
YGL068W			1.1	1.14	1.09	1.11
YMR191W			2.15	0.4	0.36	3.06
YHL026C			1.03	0.96	1.02	0.91
YDL103C	QRI1		1.16	0.82	0.82	1.08
YFL031W	HAC1		0.31	3.71	4.23	0.26
YJR037W			0.79			
YPL060W			1.53	0.63	0.57	1.6
YPR143W			1.02	1.17	1.09	1.29
YLR220W	CCC1		0.53	1.82	1.73	0.58
YPL126W	NAN1		0.37	3.03	1.87	0.55
YGR086C			1.81	0.73	0.65	1.74
YGL069C			1.02	1.27	1.19	1.04
YEL074W			1.8	0.72	0.76	1.64
YER157W	SEC34		0.68	1.39	1.23	0.75
YMR258C			0.77	0.94	0.94	0.88
YKL180W	RPL17A		0.5	2.9	2.66	0.52
YJR038C			1.09			
YOR186W						1.66
YPR144C			0.44	2.3	1.73	0.59
YLR221C			0.87	1.01	1.28	0.75
YIR001C	SGN1		1.4	0.79	0.79	1.22
YPL127C	HHO1		1.11	0.96	0.88	1.25
YHR109W			0.51	2.61	2.63	0.42
YNL132W			0.32	2.72	2.12	0.45
YEL075C			2.19	0.52	0.53	2.45
YDR455C			1.65	0.38	0.35	2.41
YER158C			1.49	0.73	0.78	1.24
YHR044C	DOG1		1.3	0.28	1.43	3.57
YMR192W			1.07	0.86	1.05	0.83
YDL104C	QRI7		1.14	0.9	0.87	1.38
YFL032W			0.57	1.58	2.06	0.44
YNL133C			2.16	0.44	0.64	1.7
YPL061W	ALD6		1.14	1.22	1.25	1.04
YCLX11W			0.65	1.45	1.68	0.59
YGR087C	PDC6		0.46	2.38	2	0.47
YER092W			1.02	1.06	1.21	0.86
YFR050C	PRE4		0.98	1.77	1.6	0.89
YFL033C	RIM15		0.75	1.22	1.03	0.88
YMR259C			0.96	1.08	1.27	0.73
YKL181W	PRS1		0.67	1.72	1.58	0.73
YDR121W	DPB4		1.07	0.89	0.84	1.17
YOR187W	TUF1		1.12	1.33	1.23	0.95
YLR222C			0.47	2.2	1.54	0.62
YIR002C	MPH1		1.23	0.73	0.67	1.46
YHL027W	RIM101		1.34	0.45	0.96	0.85
YPL128C	TBF1		0.66	1.47	1.5	0.63
YDR390C	UBA2		0.75	1.37	1.14	0.9
YER093C			1.11	0.99	1.07	0.89
YEL076C			1.66	0.7	0.67	1.91
YER159C	BUR6		1.94	0.61	0.58	1.96
YMR193W	MRPL24		1.77	0.65	0.66	1.82
YNL134C			14.01	0.09	0.11	10.68
YJL211C			0.82	0.91	0.9	1.04
YJR039W			0.89	0.99	1.07	0.84
YPL062W			0.69			0.88
YPR145W	ASN1		0.56	2.8	2.79	0.59
YCLX12W			1.09	0.75	0.66	1.37
YFR051C	RET2		0.57	1.67	1.74	0.54
YBL111C			1.82	0.55	0.55	2.26
YDR456W	NHX1		1.27	0.73	0.55	1.71
YKL182W	FAS1		0.77	1.51	1.34	0.66
YDR122W	KIN1		1.34	0.75	0.76	1.26
YOR188W	MSB1		0.67	1.4	1.15	0.82
YHR045W			1.33	0.94	0.96	0.81
YPR146C			0.81	1.34	1.35	0.71
YLR223C	IFH1		0.76	1.5	1.48	0.74
YHL028W	WSC4		1.16	0.84	1.43	0.77
YDL105W	QRI2		1.09	0.78	0.78	1.18
YDR391C			1.14	0.81		1.22
YER094C	PUP3		1.19	0.98	0.95	1.12
YEL077C			1.5	0.74	0.66	1.72
YDL040C	NAT1		0.69	1.49	1.2	0.95
YGR088W	CTT1		3.09	0.29	0.38	2.78
YHR046C			0.82		0.77	0.9
YDR123C	INO2		0.83	1.16	1.13	0.81
YMR194W	RPL36A		0.58	1.67	1.86	0.58
YHL029C			0.92	1	0.86	1.11
YDL106C	GRF10		0.93	1.01	0.94	0.89
YFL034W			0.73	1.12	1.13	0.76
YPR080W	TEF1		1.13	1.82	1.47	1.37
YNL135C	FPR1		0.83	2.05	1.73	0.83
YJL212C			0.28	4.18	3.66	0.3
YPL063W			0.68	1.69	1.58	0.73
YIR003W			1.42	0.7	0.69	1.41
YPL129W	ANC1		1.42	0.68	0.69	1.38
YBL112C			1.61	0.68	0.6	1.93
YFL035C			1.19	0.69	0.68	1.1
YPR081C			1.16	0.86	0.82	1
YDR457W	TOM1		1.13	0.82	0.93	0.93
YGL260W			1.19	0.67	0.81	0.97
YKL183W			1.03	0.9	0.84	1
YPL064C			1.11	0.88	1.1	0.98
YOR189W			1.61	0.69	0.68	1.4
YPR147C			0.67	1.62	1.6	0.62
YDR458C			1.22	0.77	0.65	1.55
YGL261C			1.59	0.73	0.8	1.23
YGR089W			0.59	1.59	1.44	0.68
YHR047C	AAP1'		0.85	1.05	1.07	0.73
YFR052W	RPN12		1.28	0.98	0.95	1.33
YMR195W			1.42	0.87	0.85	1.36
YIR004W	DJP1		0.85	1.13	1.08	0.87
YLR224W			0.77	1.45	1.33	0.82
YOR110W			1.29	0.71	0.96	1.04
YDR392W	SPT3		1.32	0.64	0.71	1.43
YER095W	RAD51		1.3	0.85	0.87	1.33
YBR130C	SHE3		0.91	0.98	0.97	0.96
YFR053C	HXK1		0.4	3.29	2.2	0.54
YBL113C			1.75	0.69	0.62	1.78
YPR082C	DIB1		0.99	1.02	1.01	1.07
YDL041W			0.92	0.79	0.75	0.94
YKL184W	SPE1		0.72	1.21	1.22	0.74
YDR124W			0.64	1.24	1.38	0.61
YPR148C			1.76	0.63	0.57	1.99
YNL070W	TOM7		0.9	1.55	1.46	0.79
YLR225C			1.4	0.7	0.65	1.52
YDL107W	MSS2		1.86	0.48	0.47	2.02
YGR010W			1.03	0.96	0.83	0.98
YJL213W			1.19	2.72	1.37	0.49
YNL136W			1.36	0.73	0.69	1.38
YDR459C				0.74		1.21
YDL042C	SIR2		1.31	0.71	0.65	1.61
YDR125C	ECM18		0.78	1.14	1.23	0.73
YMR196W			1.2			1.15
YFL036W	RPO41		0.7	1.49	1.33	0.78
YNL137C	NAM9		0.9	1.18	0.99	1.2
YPL065W	VPS28		0.93	0.96	1.09	0.9
YIR005W	IST3		1.11	0.77	0.85	1.16
YOR111W			1.14	0.87	0.89	1.17
YDR393W	SHE9		1.07	0.9	0.89	1.17
YER096W	SHC1		0.77	1.08	1.25	0.72
YFR054C					1.4	0.54
YMR197C	VTI1		2.53	0.45	0.47	2.73
YLR160C					0.04	21.23
YGL262W				1.99	1.69	0.32
YKL185W	ASH1		1.03	0.91	0.75	1.17
YHR048W			0.54	2.01	2.2	0.45
YNL071W	LAT1		1.56	0.77	0.7	1.63
YIR006C	PAN1		0.59	1.62	1.39	0.54
YDL108W	KIN28		1.21	0.91	0.95	1.25
YGR011W			1.33	0.83	0.81	0.99
YJL214W	HXT8		0.75	1.42	1.12	0.8
YML102C-A			1.24	0.97	1.12	0.94
YML100W	TSL1		1.16	1.03	0.89	1.19
YGR280C			0.51	1.67	1.51	0.66
YKL186C	MTR2		1	1.28	1.36	0.78
YDL043C	PRP11		1.29	0.73	0.7	1.14
YBR131W	CCZ1		0.59	1.2	1.02	0.71
YDL109C			0.98	0.96	0.94	1.04
YFL037W	TUB2		0.85	1.23	1.03	1.06
YPR083W			1.61	0.62	0.5	1.74
YOR380W			1.35	0.74	0.99	0.84
YJL215C			0.7	1.06	1.4	0.69
YPL066W			4.58	0.27	0.25	3.91
YML101C			1.26	0.91	1.06	1.1
YPR149W	NCE102		5.47	0.33	0.32	5.16
YLR226W	BUR2		0.86	1.07	1.34	0.69
YOR112W			0.69	1.42	1.15	0.76
YDR394W	RPT3		0.99	1.09	1.08	1.09
YER097W			0.77	0.83	1.01	0.62
YBR132C	AGP2		2.7	0.33	0.37	2.51
YDR060W			0.7	1.41	1.35	0.6
YFL038C	YPT1		2.09	0.78	0.7	2.23
YGL263W	COS12		0.06	10.71	7.13	0.08
YEL001C			0.92	1.38	1.25	0.79
YPL067C			5.58	0.17	0.19	5.5
YDR126W			0.7	1.23	1.24	0.72
YHR049W			0.31	4.19	3.26	0.35
YNL072W	RNH35		1.17	0.86	0.87	0.94
YLR227C			1.46	0.83	0.75	1.28
YGR012W			1.04	0.91	0.9	1.18
YBL101W-A			12.75	0.18	0.27	12.08
YBL101W-B			5.19	0.16	0.19	6.24
YNL138W	SRV2		0.74	1.41	1.24	0.86
YKL187C			0.88	0.82	1.09	1.11
YDL044C	MTF2		1.23	0.56	0.66	1.49
YMR198W	CIK1		1.31	0.72	0.65	1.26
YFR055W			0.54	1.94	3.1	0.36
YBR012W-A			11.79	0.09	0.12	12.65
YBR012W-B						4.78
YPR084W			0.88	0.97	0.95	0.89
YOR381W	FRE3		0.83	1.66	1.68	0.47
YNL139C	RLR1		0.85	1.07	0.99	0.97
YLR161W			0.59	2.12	1.83	0.62
YJL216C			0.6	1.42	1.3	0.68
YOL030W			2.82	0.46	0.4	2.75
YIR007W			0.74	1.11	1.26	0.68
YOR113W	AZF1		1.02	1.28	1.32	0.78
YDR395W	SXM1		0.39	2.82	2.24	0.48
YER098W	UBP9		0.8	1.17	1.23	0.75
YFR056C			0.62	1.62	2.24	0.4
YBR133C	HSL7		0.88	1.26	1.18	0.75
YDR061W			1.42	0.67	0.66	1.62
YGR281W	YOR1		1.1	0.48	1.07	0.26
YFL039C	ACT1		1.29	1.1	0.89	1.4
YPR085C			0.93	1.06	1.26	0.84
YEL002C	WBP1		0.62	1.88	1.76	0.72
YPL068C			1.38	0.62	0.75	1.2
YJL150W			1.16	0.87	1.34	0.8
YDR127W	ARO1		1.24	0.86	0.82	1.19
YNL073W	MSK1		0.97	1.06	0.96	1.09
YLR228C	ECM22		1.81	0.47	0.47	2.19
YIR008C	PRI1		0.91	0.92	0.97	0.99
YOL031C			0.63	1.79	1.74	0.61
YGR013W	SNU71		1.14	0.79	0.71	1.24
YER099C	PRS2		0.77	1.31	1.19	0.79
YML102W	CAC2		0.99	1	1.18	0.86
YGR282C	BGL2		3.25	0.5	0.5	3.61
YKL188C	PXA2		0.84	0.86	0.79	0.94
YDL045C	FAD1		1.25	0.78	0.78	1.36
YBL050W	SEC17		1.18	0.78	0.84	1.21
YNL074C	MLF3		2.66	0.44	0.42	
YJL151C			1.62	0.76	0.83	1.34
YMR199W	CLN1		1.26	0.9	0.96	1.08
YOR382W			2.93	0.33	0.33	2.66
YLR162W			0.89	1	1.08	0.79
YMR120C	ADE17		0.06	25.59	18.47	0.08
YML103C	NUP188		1.19	0.74	0.7	1.12
YOR114W			1.95	0.55	0.61	1.56
YBL051C			0.5	2.19	2.09	0.42
YDR396W			1	1.18	1.22	0.93
YDR062W	LCB2		0.5	2.17	1.91	0.53
YOR383C			0.95	1.05	1.08	0.8
YLR163C	MAS1		44.43		0.04	
YPL069C	BTS1		1.18	0.87	0.91	1.1
YDR128W			0.79	1.02	0.87	0.93
YLR229C	CDC42		1.14	1.16	1.05	1.15
YGR014W	MSB2		1.55	0.8	0.72	1.48
YOR115C	TRS33		1.2	1.15	1.1	1
YJL217W			27.74	0.03	0.07	19.81
YDR397C	NCB2		0.94	1.25	1.2	0.9
YGR283C			1.45	0.82	0.88	1.25
YBR162W-A	YSY6		1.31	0.91	0.98	1.39
YDR129C	SAC6		0.67	1.44	1.37	0.68
YBR134W			0.83	1.17	0.94	0.75
YFR057W			1.39	0.47	0.65	1.72
YGR015C			1.02	0.79	0.74	1
YER020W	GPA2		0.93	0.87	0.85	0.89
YPR086W	SUA7		0.82	1.29	1.2	0.84
YMR121C	RPL15B		0.68	2.93	2.73	0.53
YEL003W	GIM4		0.87	1.63	1.74	0.73
YML104C	MDM1		1.26	0.75	0.91	1.24
YIR009W	MSL1		0.81	1.32	1.46	0.65
YOL032W			1.75	0.59	0.65	1.5
YBL052C	SAS3		0.9	1.11	1.04	0.97
YDR063W			0.98	0.97	1.02	1.06
YDL046W			4.34	0.3	0.26	4.63
YKL189W	HYM1		1.36	0.56	0.56	1.62
YOR050C			1.09	0.98	0.94	1.17
YJL152W			1.65	0.74	0.9	1.2
YNL075W	IMP4		0.72	1.44	1.18	0.8
YNL330C	RPD3		0.76	1.37	1.25	0.78
YKL110C	KTI12		1.02	1.07	1.24	0.89
YOR116C	RPO31		1.08	1.02	0.94	1
YJL218W			0.41	2.05	2.38	
YGR284C			1.4	0.83	0.81	1.37
YCL010C			0.54	1.52	1.29	0.67
YJL153C	INO1		0.23	3.17	3.09	0.23
YBR135W	CKS1		0.95	1.08	1.06	0.8
YER021W	RPN3		1.02	1.17	0.89	1.21
YPR087W			1	1.28	1.26	0.84
YOR384W	FRE5		1.02	1.27	1.37	0.69
YLR164W			1.91	0.4	0.34	2.25
YMR122C			0.92	1.06	1.31	0.6
YEL004W	YEA4		0.72	1.19	1.05	0.9
YML105C	SEC65		1	1	1.1	1.07
YOL033W	MSE1		0.78	1.26	1.13	0.84
YBR070C			1.06	0.95	0.91	1.18
YDR398W			0.33	2.91	2.41	0.45
YDR064W	RPS13		0.5	2.36	2.07	0.51
YPR088C	SRP54		0.78	1.33	1.08	0.99
YLR165C			17.54	0.12	0.17	8.37
YDL047W	SIT4		0.72	1.36	1.28	0.74
YEL005C	VAB31		1.36	0.82	0.87	1.06
YOR051C			0.32	3.1	2.94	0.37
YNL076W	MKS1		0.87	1.07	0.94	0.94
YNL331C	AAD14		6.44	0.16	0.19	6.51
YKL111C			1.2	1.04	1.18	0.94
YGR016W			1.17	0.96	0.85	1.22
YJL219W	HXT9		0.63	2.25	1.31	0.71
YGR285C	ZUO1		0.58	2.09	1.9	0.57
YDL048C	STP4		1.28	0.77	0.76	1.78
YBL053W			1.03	0.84	0.9	0.93
YCL011C	GBP2		0.71	1.66	1.59	0.69
YJL154C	VPS35		1.15	0.87	0.86	1.25
YER022W	SRB4		1.31	0.57	0.59	
YOR385W			1.05	0.81	0.87	1.09
YOL034W			0.68	1.35	1.07	0.9
YOR117W	RPT5		0.88	1.2	1.06	1.08
YDR399W	HPT1		0.43	3.18	2.51	0.47
YDR065W			0.86	0.92	0.86	1.02
YLR166C	SEC10		0.75	1.24	1.16	0.94
YDR320C			0.88	1.06	0.96	0.84
YOR052C			2.75	0.38	0.42	2.36
YNL077W			0.65	1.22	1.02	0.88
YOL035C			1.21	0.8	0.95	1.16
YML040W			22.67	0.08	0.11	20.46
YGR017W			0.57	1.7	1.44	0.63
YPL260W			1.11	0.86	0.86	1.34
YMR123W	PKR1		0.58	2.3	2.23	0.58
YLR420W	URA4		0.51	2.62	2.37	0.58
YML106W	URA5		0.7	1.8	1.69	0.69
YGR286C	BIO2		0.33	3.19	2.66	0.34
YDR066C			1.25	0.77	0.69	1.21
YBR071W			2.23	0.44	0.45	1.83
YDL049C	KNH1		1.28	0.77	0.76	1.24
YBL054W			1.48	0.56	0.67	1.58
YJL155C	FBP26		1.7	0.43	0.43	2.37
YBR137W			1.3	0.66	0.66	1.59
YGR018C			0.68	1.6	1.57	0.68
YPL261C			1.04	0.78	0.6	1.35
YML041C			1.44	0.65	0.66	1.54
YER023W	PRO3		1.08	1.01	0.92	1.27
YPR089W			0.66	1.34	0.95	0.9
YOR386W	PHR1		1.01	0.96	1.02	1.04
YLR421C			0.93	1.39	1.38	0.91
YEL006W			1.18	1.27	1.16	0.89
YML107C			0.37	2.54	3.28	0.39
YPR010C	RPA135		1.2	0.82	0.87	1.32
YKL112W	ABF1		0.92	1.14	1.01	0.95
YNL332W	THI12		1.59	0.64	0.6	1.48
YOR118W			0.86	1.11	1.16	0.89
YBL055C			0.47	1.8	1.64	0.59
YBR138C	HDR1		2.41	0.42	0.44	2.54
YOR387C			1.2	0.51	0.68	1.51
YCL012W			1.64	0.49	0.53	1.93
YNL078W			0.77	1.15	1.12	0.79
YKL113C	RAD27		1.06	0.92	0.85	1.16
YOR119C	RIO1		1.07	0.97	0.8	1.45
YMR124W			0.93	0.94	0.87	0.96
YGR287C			0.71	1.07	1.02	0.83
YDR067C			0.93	1.13	1.25	0.88
YJL090C	DPB11		0.87	1.26	1.18	0.77
YBR072W	HSP26		81.92	0.02	0.03	39.82
YCR030C			0.89	1.16	1.02	0.97
YNL079C	TPM1		1.39	0.9	0.94	1.24
YJL156C	SSY5		1.14	0.91	0.92	0.91
YDR321W	ASP1		0.48	1.87	1.73	0.61
YER024W			0.71	1.83	1.65	0.61
YLR167W	RPS31		0.58	3.24	3.29	0.42
YEL007W			1.17	0.53	0.98	0.62
YOR053W			0.84	1.69	1.5	0.73
YPR011C			1.5	0.68	0.62	1.68
YNL333W	SNZ2		3.25	0.44	0.47	2.58
YOL036W			0.54	1.76	1.68	0.63
YLR168C	MSF1'		2.61	0.38	0.43	2.48
YOR388C	FDH1		1	1.04	1.38	0.67
YOR054C			0.83	1.17	1.25	0.76
YCL013W			1.35	0.63	0.71	1.36
YML058C-A			1.32	0.67	0.73	1.3
YNL334C	SNO2		4.29	0.24	0.22	4.98
YOL037C			0.68	1.16	1.19	0.79
YKL114C	APN1		1.34	0.7	0.57	1.88
YML042W	CAT2		0.46	2.65	2.49	0.36
YGR019W	UGA1		1.3	0.8	0.79	1.2
YPL262W	FUM1		2.59	0.54	0.48	2.66
YMR125W	STO1		0.64	1.68	1.39	0.84
YLR422W			1.04	0.92	0.9	0.53
YML108W			0.75	1.52	1.5	0.74
YJL091C			1.6	0.67	0.59	1.64
YBR073W	RDH54		1.82	0.6	0.54	1.63
YBL056W	PTC3		0.7	1.86	1.63	0.79
YCR031C	RPS14A		0.43	2.78	2.71	0.4
YJL157C	FAR1		3.13	0.22	0.17	6.34
YMR060C	TOM37		1.22	0.75	0.73	1.48
YBR139W			2.07	0.52	0.56	1.65
YPL263C	KEL3		0.68	1.68	1.57	0.55
YML043C	RRN11		0.72	1.17	1.24	0.7
YDR322W	MRPL35		1.38	0.77	0.62	1.69
YER025W	GCD11		0.46	2.35	1.8	0.63
YMR126C			0.77	1.27	1.2	0.79
YLR423C			1.72	0.48	0.49	1.79
YEL008W			0.91			0.92
YBL057C			0.85	1.29	1.31	0.85
YAL020C	ATS1		1.07	1.08	1.29	0.82
YGR288W	MAL13		1.78	0.88	0.79	1.02
YDR068W	DOS2		1.04	1.05	1.01	0.89
YDR323C	PEP7		1.43	0.72	0.74	1.31
YER026C	CHO1		1.37	0.78	0.77	1.43
YEL009C	GCN4		0.91	1.74	1.53	0.88
YCL014W	BUD3		0.58	1.69	1.6	0.61
YKL115C			1.03	0.85	0.98	0.85
YIL120W			0.66	1.24	1.43	0.63
YML109W	ZDS2		1.24	0.81	0.68	1.31
YGR289C						2.32
YPR012W			0.55	1.8	1.88	0.4
YDR069C	DOA4		0.82	1.21	1.18	0.78
YBR074W			0.51	2.07	1.67	0.56
YJL158C	CIS3		1.18	0.52	0.92	0.3
YHR180W			0.9	1.06	0.96	1.01
YDL240W	LRG1		1.07	0.92	0.9	0.96
YPL264C			1.29	0.77	0.87	1.06
YOR389W			1.19	0.67	0.74	1.29
YLR169W			1.93	0.38	0.43	2.4
YMR127C	SAS2		1.13	0.85	0.87	1.18
YOR055W			0.72	1.17	1.08	0.84
