INAME	GENE	CHR	SIMR_UP2_191FR	SIMR_UP2_254
YJL036W	SNX4	10	1.83	0.57
YKR011C		11	1.22	0.96
iNx408I		0	1.33	0.8
YDL199C		4	1.18	0.91
iGx279I		0	0.18	5.8
YPL208W		16	2.04	0.61
iMx385I				1.24
iCx022I		0	1.44	0.79
YER173W	RAD24	5	2.06	0.67
iMx051I		0	1.8	0.57
iBx399I		0	0.85	
iOx300I		0	0.69	1.34
YPL209C	IPL1	16	2.19	0.54
iDx582I		0	1.14	0.83
iBx065I		0	1.03	0.9
YER174C	GRX4	5	1.28	0.85
iLx094I		0	1.84	0.53
iHx171I		0	1.1	0.73
iDx648I		0	1.4	0.65
iHx237I		0	1.63	0.49
iDx314I		0	1.34	0.97
YJR054W		10	1.3	1.19
YKR012C		11	0.89	1.25
YJL037W		10	1.92	0.45
YPR160W	GPH1	16	0.54	1.35
iNx409I		0	1.69	0.66
YPL143W	RPL33A	16	0.88	1.18
YLR303W	MET17	12	0.49	1.69
iMx386I		0	1.71	0.53
iCx023I		0	0.2	3.24
iMx052I		0	0.84	1.34
YJL038C		10	1.51	0.52
YPR161C	SGV1	16	0.57	1.79
iMx118I		0	1.23	0.69
YOR269W	PAC1	15	0.47	1.86
YLR304C	ACO1	12	0.91	1.15
iOx301I		0	2.35	0.49
iDx583I		0	1.63	0.57
iBx066I		0	1.37	0.67
YER175C		5	1.92	0.58
iLx095I		0	1.27	0.78
iHx172I		0	1.16	0.98
iDx649I		0	1.57	0.6
iHx238I		0	1.78	0.4
iDx315I		0	1.48	0.52
YER087C-A	SBH1	5	0.53	2.11
iNx344I		0	0.81	1.71
YJR055W	HIT1	10	0.58	1.74
iNx010I		0	1.58	0.7
YPL144W	SNR17B	16	1.91	0.59
iMx387I		0	1.17	0.56
iCx024I		0	0.72	1.28
YJR056C		10	1.1	0.79
iOx570I		0	1.29	0.71
iMx053I		0	0.49	1.96
iIx130I		0	1.13	0.57
YJL039C	NUP192	10	0.69	1.56
YPR162C	ORC4	16	1.67	0.62
YPL145C	KES1	16	1.95	0.7
iMx119I		0	1.03	0.89
YLR305C	STT4	12	1.04	0.96
iOx302I		0	1.1	0.85
YKR013W	PRY2	11	0.85	1.43
iBx067I		0	0.65	1.44
iDx250I		4	0.31	3.11
iLx096I		0	0.96	0.7
iHx173I		0	1.64	0.54
iHx239I		0	2.09	0.45
iDx316I		0	2.1	0.4
YBR210W		2	1	0.7
iNx345I		0	0.26	3.15
YKR014C	YPT52	11	1.09	0.88
iNx011I		0	1.57	0.5
YFL051C		6	1.37	0.82
iMx388I		0	0.98	1.17
iCx025I		0	0.35	3.15
YER176W	ECM32	5	1.61	0.56
YBR211C	AME1	2	1.72	0.58
YPL080C		16	1.13	0.54
iOx571I		0	1.77	0.44
iMx054I		0	0.5	1.52
iIx131I		0	1.41	0.75
YPR163C	TIF3	16	1.53	0.58
YPL146C		16	0.72	1.65
iOx303I		0	2.22	0.48
iBx068I		0	0.5	2.37
iLx097I		0	1.13	0.76
iHx174I		0	1.9	0.51
iDx251I		0	0.21	
iNx280I		0	1.09	0.83
iDx317I		0	1.2	0.6
iNx346I		0	1.23	0.69
YJR057W	CDC8	10	1.93	0.57
YKR015C		11	1.12	1.01
iNx012I		0	1.39	0.38
YLR240W	VPS34	12	1.63	0.63
YLR306W				0.54
iMx389I		0	0.65	1.72
iCx026I		0	0.9	0.93
YER177W	BMH1	5	1.26	0.99
YJR058C	APS2	10	1.99	0.55
iOx572I		0	1.09	1.07
iMx055I		0	0.37	2.79
iIx132I		0	0.92	0.9
iOx304I		0	1.17	0.72
YJR094W-A	RPL43B	10	1.32	0.55
iDx586I		0	1.13	0.7
iBx069I		0	1.59	0.67
iLx098I		0	1.42	0.66
iHx175I		0	1.82	0.55
iDx252I		0	0.67	1.38
iNx281I		0	1.02	1.02
iDx318I		0	1.65	0.66
YFL052W		6	1.55	0.59
YBR212W	NGR1	2	1.52	0.61
iNx347I		0	0.85	0.95
iPx530I		0	0.89	1.25
iNx013I		0	1.42	0.45
YPR164W	KIM3	16	0.72	
YLR241W		12	0.93	1.22
YPL147W	PXA1	16	0.75	1.4
YLR307W	CDA1	12	1.04	1.02
iCx027I		0	0.76	1.27
YER178W	PDA1	5	0.9	1.37
YPL082C	MOT1	16	0.57	
iOx573I		0	0.76	1.16
iMx056I		0	0.24	5.11
iIx133I		0	1.74	0.45
iEx210I		0	1.07	0.57
YLR242C	ARV1	12	0.73	1.7
YPL148C	PPT2	16	1.06	0.93
YGL010W		7	0.4	2.54
iOx305I		0	2.02	0.53
YKR016W		11	0.56	2.13
iDx587I		0	1.56	0.45
iLx099I		0	1.78	
iHx176I		0	1.98	0.57
iDx253I		0	0.59	1.56
iNx282I		14	1.02	0.91
iDx319I		0	0.94	0.67
YFL053W	DAK2	6	1.75	0.51
YBR213W	MET8	2	1.61	0.56
YGL011C	SCL1	7	0.44	2.79
iNx348I		0	0.29	3.87
YJR059W	PTK2	10	1.59	0.65
YKR017C		11	0.51	3.13
iPx531I		0	1.93	0.78
iNx014I		0	0.65	1.42
YPR165W	RHO1	16	0.99	0.77
YFL054C		6	0.87	1.09
iCx028I		0	0.48	1.5
YER179W	DMC1	5	0.52	2.07
YPL083C	SEN54	16	0.53	3.13
iOx574I		0	0.48	1.37
iMx057I		0	1.23	0.85
iIx134I		0	1.68	0.49
iEx211I		0	1.23	0.49
YPR166C	MRP2	16	1.02	1.38
iOx240I		15	0.89	
YLR309C	IMH1	12	1.31	1.03
iOx306I		0	1.92	0.55
iDx588I		0	1.39	0.72
YMR200W	ROT1	13	0.8	1.16
YER019C-A	SBH2	5	1.07	0.66
iHx177I		0	1.01	0.83
iDx254I		0	0.43	2.72
iNx283I		0	1.11	0.93
iJx360I		0	1.63	0.49
YBR214W	SDS24	2	0.75	1.19
iNx349I		0	1.58	0.5
YKR018C		11	0.98	0.96
YLR243W				1.52
iNx015I		0	1.33	0.8
YMR201C	RAD14	13	0.72	1.4
YPL149W	APG5	16	1.01	1.08
iCx029I		0	0.47	2.46
iOx575I		0	0.88	0.7
iMx058I		0	1.5	0.62
iIx135I		0	2.14	0.49
iEx212I		0	0.86	1.04
YPR167C	MET16	16	1.21	0.93
YLR244C	MAP1	12	0.75	1.31
iOx241I		0	1.84	0.48
YGL012W	ERG4	7	0.54	2.31
iOx307I		0	1.69	0.5
iDx589I		0	0.76	0.94
iHx178I		0	0.86	
iDx255I		0	0.24	3.7
iNx284I		0	0.45	1.96
iJx361I		0	1.47	0.51
YFL055W	AGP3	6	1.37	0.67
YGR030C	POP6	7	1.37	0.71
YBR215W	HPC2	2	0.43	2.06
YGL013C	PDR1	7	0.42	2.88
YPL084W	BRO1	16	0.5	2.14
YKR019C	IRS4	11	1.41	0.69
iNx016I		0	1.45	0.46
YBR150C	TBS1	2	0.94	
iIx070I		0	0.49	2.37
YFL056C	AAD6	6	1.07	1.02
YBR216C		2	0.66	1.38
iOx576I		0	1.74	0.6
iMx059I		0	1.47	0.79
iIx136I		0	1.53	0.58
iEx213I		0	0.43	1.57
YLR245C	CDD1	12	1.32	0.8
iOx242I		0	1.03	0.84
iOx308I		0	1.51	0.62
iDx190I		0	1.65	0.59
YMR202W	ERG2	13	0.84	0.7
iHx179I		0	1.89	0.45
iDx256I		0	0.37	2.54
iNx285I		0	1.76	0.66
iJx362I		0	1.53	0.58
YPL085W	SEC16	16	0.72	0.95
YML120C	NDI1	13	1.55	0.63
iNx017I		0	1.19	0.54
YPR168W	NUT2	16	1.56	0.8
iPx200I		0	0.31	3.18
iIx071I		0	1.61	0.58
YFL057C		6	0.77	
YPL086C	ELP3	16	1.85	0.63
iOx577I		0	2.06	0.52
iIx137I		0	0.26	3.55
iEx214I		0	0.56	1.45
YGR031W		7	1.49	0.62
iOx243I		0	0.41	1.93
iKx320I		0	1.13	0.64
YGL014W		7	0.61	1.84
iOx309I		0	1.58	0.6
iDx191I		0	0.93	1.09
YMR203W	TOM40	13	0.41	2.61
YMR031W-A		13	1.24	0.65
iDx257I				0.83
YBR151W	APD1	2	1.48	0.55
iNx286I		0	1.45	0.62
iJx363I		0	1.44	0.59
YBR217W	APG12	2	0.85	
YGL015C		7	0.91	1.1
YLR180W	SAM1	12	1.07	1.16
YDR400W		4	1.04	1.28
iNx018I		0	1.81	0.59
YPR169W		16	1.37	0.78
YLR246W	ERF2	12	0.8	1.53
YMR204C		13	0.29	3.64
iPx201I		0	1.37	0.61
iIx072I		0	0.71	1.48
YLR181C		12	1.01	1.12
YBR218C	PYC2	2	1.35	1.12
iOx578I		0	1.53	0.53
iIx138I		0	1.36	0.57
iEx215I		0	0.97	0.62
YLR247C		12	0.99	1.25
YGR032W	GSC2	7	0.53	0.97
iOx244I		0	0.33	2.5
iKx321I		0	0.81	0.83
YML121W	GTR1	13	1.37	0.77
iDx192I		0	1.25	0.72
iDx258I		0	0.99	0.97
YBR152W	SPP381	2	1.36	0.68
iNx287I		0	0.95	1.19
iJx364I		0	0.29	3
YFL058W	THI5	6	0.96	1.23
YGR033C		7	0.34	2.71
iPx470I		0	0.74	1.67
iJx030I		0	1.79	0.5
YPL087W	YDC1	16	1.26	0.76
YML122C		13	1.63	0.54
YDR401W		4	0.8	1.52
iNx019I		0	1.01	0.92
YMR205C	PFK2	13	1.32	0.79
iPx202I		0	1.86	0.41
YBL070C		2	1.11	0.59
iIx073I		0	1.21	0.67
iEx150I		0	0.34	3.63
YBR219C		2	1.84	0.52
iOx579I		0	1.24	0.52
iIx139I		0	1.17	1.13
iEx216I		0	1.22	0.61
YDR402C	DIT2	4	0.88	1.06
iKx322I		11	0.92	0.78
iOx245I		0	1.05	1.06
YGL016W	KAP122	7	1.47	0.74
iDx193I		0	0.29	3.68
iDx259I		0	1.08	0.89
YBR153W	RIB7	2	1.02	0.93
iNx288I		0	0.44	1.93
iJx365I		0	0.47	1.7
YFL059W	SNZ3	6	1.39	0.71
iPx471I		0	0.9	1.08
iJx031I		0	0.95	1.41
YLR182W	SWI6	12	1.22	0.97
YPL088W		16	1.71	0.45
YML123C	PHO84	13	1.95	0.55
YLR248W	RCK2	12	2.52	0.5
iPx203I		0	2.29	0.46
YBL071C		2	1.36	0.39
YBR154C	RPB5	2	0.95	
iIx074I		0	0.55	1.72
iEx151I		0	0.21	4.17
YLR183C		12	1.16	1.05
iOx180I		0	0.56	2.02
YPL089C	RLM1	16	1.32	0.71
iEx217I		0	0.5	1.97
iOx246I				0.57
iKx323I		0	1.08	0.7
iGx400I		0	1.08	0.94
YGR034W	RPL26B	7	0.6	1.9
YGL017W	ATE1	7	1.53	0.63
YMR140W		13	0.8	1.4
iDx194I		0	1.07	1.06
YMR206W		13	0.89	1.03
iNx289I		0	1.12	0.88
iJx366I		0	0.91	0.9
YGR035C		7	0.17	5.12
iPx472I		0	1.57	0.41
iJx032I		0	1.36	0.74
YGL018C	JAC1	7	1.15	0.92
YMR141C		13	0.43	2.04
YML124C	TUB3	13	1.73	0.52
YDR403W	DIT1	4	1.03	1.24
YLR249W	YEF3	12	0.92	1.4
YMR207C	HFA1	13	0.67	
iPx204I		0	1.03	0.98
YBL072C	RPS8A	2	1.47	0.62
iIx075I		0	1.5	0.59
iEx152I		0	1.09	0.73
iOx181I		0	0.65	1.19
iEx218I		0	0.99	0.68
YDR404C	RPB7	4	1	0.87
iOx247I		0	1.71	0.46
iKx324I		0	0.76	0.97
iGx401I		0	0.87	0.95
iDx195I		0	0.79	1.35
YCL030C	HIS4	3	1.07	0.91
YBR155W	CNS1	2	0.71	1.61
iJx367I		0	1.17	0.79
YGR036C	CAX4	7	0.86	1.2
iPx473I		0	1.79	0.53
iLx550I		0	0.48	2.18
iJx033I		0	0.94	0.89
iFx110I		0	0.78	1.34
YLR184W		12	1.47	0.47
YMR142C	RPL13B	13	0.61	1.47
YML125C		13	1.78	0.57
YBR090C		2	0.93	
iPx205I		0	2.1	0.4
YBR156C	SLI15	2	0.81	1.45
iIx076I		0	1.65	0.4
iEx153I		0	1.89	0.66
iOx182I		0	1.48	0.64
iEx219I		5	1.18	0.66
iOx248I		0	1.07	0.89
iKx325I		0	1.87	0.43
iGx402I		0	0.9	0.79
YGL019W	CKB1	7	1.11	0.89
iDx196I		0	0.69	
YMR208W	ERG12	13	1.36	0.6
YBL073W		2	1.32	0.62
YCL031C	RRP7	3	0.52	2.21
iJx368I		0	1.71	0.58
YGR037C	ACB1	7	0.78	1.07
iPx474I		0	1.29	0.79
iLx551I		0	1.64	
iJx034I		0	0.84	1.09
iFx111I		0	1.31	0.86
YLR185W	RPL37A	12	1.25	0.97
iPx140I		0	1.68	0.67
YDR405W	MRP20	4	1.38	0.68
YML126C	HMGS	13	1.16	0.92
YMR209C		13	1.32	0.63
YBR091C	MRS5	2	1.49	0.53
iPx206I		0	0.98	0.72
YBL074C	AAR2	2	1.8	0.4
YBR157C	ICS2	2	1.73	0.65
iIx077I		0	1.64	0.51
iEx154I		0	1.34	0.84
iOx183I		0	1.32	0.84
iKx260I		0	0.38	3.69
iGx403I				1.02
iOx249I		0	0.74	1.14
iKx326I		0	0.35	2.34
YML060W	OGG1	13	0.77	
YMR143W	RPS16A	13	1.06	0.85
iDx197I		0	1.32	0.95
iJx369I		10	0.8	
YDR340W		4	0.86	2.12
YML061C	PIF1	13	1.13	0.93
iPx475I		0	0.56	1.62
iLx552I		0	1.19	0.69
iJx035I		0	1.53	0.71
iFx112I		0	0.63	1.81
YLR186W		12	1.61	0.58
iPx141I				0.54
YDR406W	PDR15	4	0.75	1.56
YBR092C	PHO3	2	1.88	0.5
iPx207I		0	0.3	2.96
YBL075C	SSA3	2	1.15	0.83
iEx155I				0.71
iIx078I		0	2.01	0.57
YDR341C		4	1.53	0.59
iOx184I		0	0.16	6.17
iKx261I		0	0.3	2.79
YCL032W	STE50	3	0.41	2.46
YDR407C	TRS120	4	0.73	1.51
iKx327I		0	0.54	1.64
iGx404I		0	0.62	1.23
YGR038W	ORM1	7	0.83	1.27
YMR144W		13	0.5	1.93
iDx198I		0	1.47	0.62
YML127W		13	1	0.84
YBR158W	ICS4	2	1.81	0.66
YML062C	MFT1	13	0.6	1.59
iPx476I				1.5
iJx036I				0.85
iLx553I		0	0.88	0.6
iFx113I		0	0.46	2.05
YLR187W		12	0.92	1.47
YMR145C		13	1.05	0.8
iPx142I		0	1.18	0.77
YML128C		13	1.77	0.46
YBR093C	PHO5	2	1.98	0.56
iPx208I		0	0.64	2.07
iEx090I		0	0.34	3.22
YBL076C	ILS1	2	0.73	0.99
iIx079I		0	1.06	0.89
iEx156I		0	1.11	0.91
YDR342C	HXT7	4	1.76	0.89
iOx185I		0	0.4	2.82
iKx262I		0	0.58	1.5
YDR408C	ADE8	4	1.77	0.44
iGx405I		7	0.67	1.56
iKx328I		0	1.42	0.7
YGR039W		7	1.39	0.55
YNL020C	ARK1	14	0.94	1.18
iDx199I		0	1.49	0.57
YBR159W		2	1.64	0.75
YMR080C	NAM7	13	0.98	0.78
iPx477I		16	0.42	0.97
iJx037I		0	1.18	0.73
iFx114I		0	1.1	0.83
YLR188W	MDL1	12	0.55	2.37
iLx554I	LSM3	12	0.99	0.86
YMR146C	TIF34	13	1.9	0.61
iPx143I		0	2.01	0.47
iLx220I		0	1.39	0.65
YML129C	COX14	13	1.1	0.59
iPx209I		0	1.6	0.52
iEx091I		0	0.35	2.52
iEx157I		0	0.54	2.21
YDR343C	HXT6	4	0.91	
YLR189C	UGT51	12	0.61	1.86
YCR051W				0.67
iOx186I		0	0.65	1.82
iKx263I		0	0.83	1.02
iGx340I		0	1.21	0.72
YCL034W				1.04
iKx329I		0	0.78	0.98
iGx406I		0	1.56	0.64
YIL140W	SRO4	9	0.88	1.11
YBR094W		2	1.65	0.75
YBL077W		2	0.58	1.94
YCL035C				0.73
YMR081C	ISF1	13	1.68	0.43
YML064C	TEM1	13	0.6	1.97
iPx478I		0	1.14	0.69
iLx555I		0	0.9	1.04
iJx038I		0	0.96	1.09
iFx115I		0	0.8	0.96
iPx144I		0	1.19	0.93
iLx221I		0	0.41	2.68
YOR330C	MIP1	15	1.57	0.61
YDR409W		4	1.15	0.79
YBR095C		2	1.08	0.9
YNL021W	HDA1	14	1.53	0.93
iEx092I		0	1.2	0.72
YBL078C	AUT7	2	0.32	3.05
iEx158I		0	2.05	0.66
YDR344C		4	0.78	0.7
YCR052W	RSC6	3	1.44	
iOx187I		0	0.41	2.61
iKx264I		0	0.31	4.72
iGx341I		0	0.34	3.36
YDR010C		4	1.35	0.79
iGx407I		0	1.78	0.52
YIL141W		9	1.39	0.8
YNL022C		14	1.69	0.57
YMR147W		13	1.73	0.47
iLx490I		0	2.09	0.4
iFx050I		0	1.18	0.77
YMR082C				0.48
iPx479I		0	0.62	1.29
iLx556I		0	0.52	2.4
iJx039I		0	1.67	0.61
iFx116I		0	0.91	1
iDx710I		0	0.47	1.79
YNL290W	RFC3	14	1.61	0.53
iPx145I				1
iLx222I		0	0.98	0.85
YOR331C		15	1.43	0.5
iEx093I		0	1.34	0.65
iEx159I		0	2.04	0.51
YDR345C	HXT3	4	1.55	0.84
YNL291C	MID1	14	1.38	0.74
YCR053W	THR4	3	0.43	1.99
iOx188I		15	0.35	
iKx265I		0	0.49	2.7
iGx342I		0	1.95	0.5
YCL036W		3	1.18	0.67
iGx408I		0	1.06	1.36
YIL142W	CCT2	9	1.71	0.69
YML065W	ORC1	13	0.75	1.43
YNL023C	FAP1	14	1.05	0.95
YMR148W		13	1.47	0.58
YBR096W		2	1.82	0.48
YCR054C	CTR86	3	0.45	1.68
YBL079W	NUP170	2	0.66	1.27
iLx491I		0	1.45	0.56
iFx051I		0	0.65	1.55
YCL037C	SRO9	3	1.21	0.7
iPx080I		0	1.69	0.52
YML066C		13	0.83	
YIL143C	SSL2	9	1.02	1.16
iLx557I		0	1.35	0.74
iFx117I		0	1.38	0.73
iDx711I		0	1.21	0.72
YDR011W				1.33
iHx300I		8	1.28	0.98
iPx146I		0	1.19	0.69
iLx223I		0	0.24	4.03
YNR040W		14	0.38	0.89
YJL100W		10	1.81	0.5
iEx094I		0	0.31	3.36
YDR346C		4	1.59	0.75
iOx189I		0	0.58	1.77
iKx266I		0	0.47	2.11
iGx343I		0	1.52	0.45
YMR083W	ADH3	13	1.7	0.51
iGx409I		0	0.94	1.33
YNR041C	COQ2	14	1.51	0.6
YNL024C		14	0.72	1.17
YJL101C	GSH1	10	1.33	0.81
YMR149W	SWP1	13	1.45	0.54
YOR332W	VMA4	15	1.32	0.65
iLx492I		0	0.62	1.51
iFx052I		0	0.66	1.42
YCL038C		3	0.53	2
YDR280W	RRP45	4	1.11	0.89
iPx081I		0	2.13	0.56
YML067C		13	1.07	0.78
iFx118I		0	1.18	0.83
iLx558I		0	1.18	0.62
iDx712I		0	1.63	0.63
YNL292W	PUS4	14	1.21	0.93
YDR012W	RPL4B	4	0.72	
iHx301I				0.72
iPx147I		0	0.42	2.36
iLx224I		0	0.42	3.02
YOR333C		15	1.12	0.73
iEx095I		0	0.21	4.7
YDR281C		4	0.58	1.7
iKx267I		0	0.26	3.64
iGx344I		0	1.72	0.4
iMx450I				1.23
iGx010I		0	1.8	0.54
YMR084W		13	1.43	0.67
YIL144W	TID3	9	1.33	1.19
YNL025C	SSN8	14	0.95	1.09
YBR098W	MMS4	2	0.73	1.37
iLx493I		0	2.16	0.59
iFx053I		0	0.78	1.57
iBx130I		0	0.54	1.58
iPx082I		0	0.82	
YIL145C		9	2.28	0.51
iLx559I		0	2.02	0.43
iFx119I		0	1.25	0.73
iDx713I		0	1.56	0.58
YDR347W	MRP1	4	0.78	1.27
YNL293W	MSB3	14	1.62	0.55
YDR013W		4	0.72	1.51
iHx302I		8	1.27	0.54
iPx148I		0	1.54	0.86
iLx225I		0	0.82	1.27
YNR042W		14	1.5	0.56
YBR099C		2	0.35	2.82
YJL102W	MEF2	10	1.01	1.01
iEx096I		0	0.57	1.49
YDR282C		4	0.66	1.75
YDR348C		4	0.95	1.46
iKx268I		0	1.28	1.03
iGx345I		0	1.68	0.46
YCL039W		3	0.55	
iMx451I		0	1.04	0.86
iGx011I		0	1.12	0.98
YMR085W		13	1.28	1.02
YML068W		13	1.17	0.75
YJL103C		10	1.73	0.54
YOR334W	MRS2	15	0.93	1.17
YCR057C	PWP2	3	1.54	0.61
iFx054I		0	0.65	1.64
iLx494I		0	0.57	2.29
iBx131I		0	0.35	3.24
iPx083I		0	1.72	0.44
iLx160I		0	2.41	0.6
YIL146C	ECM37	9	1.06	
iDx714I		0	1.2	0.69
YDR014W		4	0.71	1.32
iPx149I		0	2.11	0.59
iLx226I		0	0.91	0.72
YOR335C	ALA1	15	1.25	0.68
YJR120W		10	1.31	
YNR043W	MVD1	14	1.64	0.51
YNL026W		14	0.58	2.05
YDR283C	GCN2	4	0.83	1.03
iGx280I		0	0.42	2.2
YDR349C	YPS7	4	1.41	0.72
iKx269I		0	1.02	0.99
iGx346I		0	1.54	0.7
YIL080W		9	0.99	1.32
YDR015C		4	0.21	4.44
iMx452I		0	1.06	1
iGx012I		0	0.98	0.84
YMR086W		13	0.71	1.1
YML069W	POB3	13	1.42	0.73
YPL210C	SRP72	16	1.56	0.85
YOR001W	RRP6	15	0.79	2.63
iLx495I		0	1.15	0.52
iFx055I		0	0.48	2.29
iBx132I		0	0.2	4.91
iPx084I		0	1.05	0.99
iLx161I		0	0.73	1.32
YIL147C	SLN1	9	1.5	0.93
iDx715I		0	0.78	1.19
YOR270C	VPH1	15	0.91	1.06
YNL295W		14	0.63	
iLx227I		12	0.83	1.25
iNx410I		0	1.15	0.75
YNR044W	AGA1	14	1.3	0.72
YJR121W	ATP2	10	1.35	0.64
YJL104W		10	0.91	0.79
iEx098I		0	0.49	2.57
YNL027W	CRZ1	14	1.41	0.64
YDR284C	DPP1	4	2	0.4
iGx281I		0	0.52	2
iGx347I		0	1.28	0.67
YDR016C		4	0.19	4.11
iMx453I		0	1.72	0.46
iGx013I		0	1.58	0.6
YMR087W		13	0.5	1.9
YOR336W	KRE5	15	1.59	0.6
YOR002W	ALG6	15	0.55	2.26
YCR059C		3	1.16	
iLx496I		0	1.53	0.48
iFx056I		0	0.51	1.62
iDx650I		0	0.79	1.32
iBx133I		0	0.6	1.6
YMR088C		13	0.64	1.4
iPx085I		0	0.53	1.71
iLx162I		0	1.36	0.63
iDx716I		0	1.01	1.02
YOR271C		15	1.58	0.41
YNL296W		14	1.73	0.54
iHx305I		8	0.53	0.87
iLx228I		12	0.78	
iNx411I		0	1.33	
YNR045W	PET494	14	1.75	0.51
YJR122W	CAF17	10	1.53	0.59
YJL105W		10	1.3	0.66
iEx099I		0	0.58	2
YNL028W		14	1.41	0.45
iGx282I		0	0.66	1.47
YPL211W	NIP7	16	1.26	0.78
YNL297C		14	0.93	
iGx348I		0	1.86	0.5
YIL082W		9	1.89	0.8
YDR017C	KCS1	4	0.48	2.01
iMx454I		0	1.29	0.81
iGx014I		0	1.7	0.64
YIL148W	RPL40A	9	1.38	0.82
iMx120I		0	1.42	0.76
YNL029C	KTR5	14	1.54	0.67
YPL212C				1.04
YOR337W	TEA1	15	1.5	0.56
YOR003W	YSP3	15	0.69	2.09
YIL083C				0.63
iLx497I		0	0.62	1.47
iFx057I		0	1.14	0.83
iDx651I		0	1.55	0.61
iBx134I		0	0.48	1.72
YDR285W	ZIP1	4	1.74	0.69
YMR089C	YTA12	13	0.43	
iPx086I		0	1.49	0.55
iLx163I		0	0.77	1.59
iHx240I		0	2.02	0.74
YIL149C		9	1.02	0.76
iDx717I		0	0.37	2.9
iLx229I		12	0.73	1.48
iNx412I		0	0.96	1.34
YNR046W		14	1.53	0.52
YJR123W	RPS5	10	0.54	1.43
YJL106W	IME2	10	1.5	0.59
YDR286C		4	1.58	0.66
iGx283I		0	0.5	2.54
iGx349I		0	1.36	0.56
YDR018C		4	1.16	0.85
iMx455I		0	1.2	0.47
iGx015I		0	1.44	0.54
YJR124C		10	0.37	2.37
iMx121I		0	0.75	1.28
YOR272W	YTM1	15	0.88	1.1
YJL107C		10	2.03	0.53
YOR338W		15	1.15	0.93
YOR004W		15	0.37	3.61
YIL084C	SDS3	9	1.99	0.52
iLx498I		0	1.79	0.66
iFx058I		0	0.91	0.94
iDx652I		0	0.7	0.72
iBx135I		0	1.21	1.17
iPx087I		0	0.93	0.86
iLx164I		0	0.89	1.2
iHx241I		0	0.54	1.76
iDx718I		0	0.61	1.19
YOR273C		15	1.06	0.88
YNL298W	CLA4	14	0.68	1.72
YJL041W	NSP1	10	0.37	2.74
YOR339C	UBC11	15	1.1	0.81
iNx413I		0	1.74	0.65
YNR047W		14	1.1	0.84
YOR005C	DNL4	15	0.37	3.33
iGx284I		0	0.49	2.07
YPL213W	LEA1	16	0.57	1.56
iMx390I		0	1.83	0.39
YDR019C	GCV1	4	0.51	
iMx456I		0	1.54	0.57
iGx016I		0	1.43	0.73
YJR125C	ENT3	10	0.64	1.44
iMx122I		0	0.5	1.81
YJL108C		10	1.94	0.5
YPL214C	THI6	16	0.64	1.68
iBx070I		0	0.76	1.79
YIL085C	KTR7	9	1.48	0.66
iLx499I		0	0.75	0.9
iFx059I		0	1.01	0.66
iDx653I		0	1.3	0.64
iBx136I		0	1.22	0.86
YDR287W		4	1.89	0.6
iHx242I		8	0.42	1.5
iPx088I		0	0.87	0.8
iLx165I		0	1.53	0.76
iDx719I		0	1.91	0.51
YNL299W	TRF5	14	1.71	0.51
iHx308I				1.08
YJL042W	MHP1	10	1.01	0.79
iNx414I		0	1.21	0.59
YNR048W		14	0.27	3.76
YOR006C		15	0.38	2.9
iGx285I		7	0.36	1.57
iMx391I		0	0.5	1.99
iMx457I		0	1.61	0.74
iGx017I		0	0.41	2.77
YNR049C	MSO1	14	0.19	4.26
YJR126C		10	1.01	0.96
iMx123I		0	1	
iIx200I		0	0.25	4.34
YOR274W	MOD5	15	0.82	1.33
YJL109C		10	0.89	
iBx071I		0	1.4	0.73
YER180C	ISC10	5	0.86	1.21
YIL086C		9	1.06	0.76
iDx654I		0	2.06	0.52
iBx137I		0	0.6	1.46
YDR288W		4	0.96	0.85
iPx089I				0.57
EMPTY	EMPTY	0	1.4	1.22
iLx166I		0	1.64	0.6
iHx243I		0	0.46	1.51
iDx320I		0	1.05	0.65
YOR275C		15	0.95	0.93
YJR060W	CBF1	10	1.53	0.59
YJL043W		10	1.26	0.69
YKL001C	MET14	11	0.35	2.39
iNx415I		0	1.49	
YOR007C	SGT2	15	0.44	2.99
YDR289C	RTT103	4	0.91	1.17
iGx286I				2.46
YPL215W	CBP3	16	0.8	1.22
iMx392I		0	1.56	0.51
YJL044C	GYP6	10	1.37	0.88
iMx458I		0	0.96	0.94
iGx018I		0	1.62	0.81
YJR127C	ZMS1	10	1.56	0.8
iMx124I		0	0.35	3.02
iIx201I		0	0.14	5.4
YLR310C	CDC25	12	1.27	
iBx072I		0	1.12	0.6
YER181C		5	0.92	1.49
YIL087C		9	1.13	0.83
iDx655I		0	1.63	0.5
iBx138I		0	0.69	1.48
iLx167I		0	1.19	0.53
iHx244I		0	0.55	2.78
iDx321I		0	0.92	0.88
iNx350I		0	1.51	0.55
YJR061W		10	0.82	1.47
iNx416I		0	1.24	1.31
YPL150W		16	1.53	0.71
YOR008C	SLG1	15	0.89	1.23
iGx287I		0	0.33	2.97
YPL216W		16	1.5	0.68
iMx393I		0	0.94	1.16
iCx030I		0	1.01	0.68
YJR062C	NTA1	10	0.58	1.15
iMx459I		0	0.63	1.62
iGx019I		0	1.5	0.61
YPL151C	PRP46	16	1.62	0.62
iMx125I		0	1.43	0.68
iIx202I		0	0.96	0.98
YOR276W	CAF20	15	1.41	0.52
YLR311C		12	1.78	0.57
YPL217C	BMS1	16	0.56	1.77
YKL002W		11	0.41	2.61
