INAME	GENE	CHR	SIMR_UP2_191FR	SIMR_UP2_254
iDx152I		0	1.48	0.63
YGR261C	APL6	7	0.67	1.53
iNx181I		0	1.46	0.72
YKL167C	MRP49	11	1.23	0.72
iDx218I		0	0.99	0.96
iNx247I		0	1.49	0.5
iJx324I		0	1.15	0.53
iPx430I		0	1.23	0.81
YPR064W		16	1.63	0.47
YLR141W	RRN5	12	1.21	0.69
iCx195I		3	0.91	1.49
YPL047W		16	1.31	0.62
YLR207W	HRD3	12	1.36	0.89
YBL030C	PET9	2	1.41	0.75
iOx473I		0	1.61	0.49
iIx033I		0	1.71	0.56
YFL019C		6	0.67	1.15
YGL244W	RTF1	7	1.51	0.57
iOx539I		0	1	0.96
iOx205I		0	1.21	0.86
iDx487I		0	0.26	3.87
iHx076I		0	0.63	1.57
iDx153I		0	1.11	0.95
YGR262C		7	1.16	0.61
iNx182I		0	1.04	0.77
YKL168C	KKQ8	11	0.69	1.57
iDx219I		0	0.79	0.85
YBR113W		2	1.18	0.67
iNx248I		0	2.03	0.48
iJx325I		0	0.65	0.81
YFR036W	CDC26	6	0.92	0.88
iPx431I		16	0.65	0.72
YPR065W	ROX1	16	0.69	0.86
YLR142W	PUT1	12	1.48	0.7
iCx196I		3	0.94	1.39
YPL048W	CAM1	16	1.94	0.6
YLR208W	SEC13	12	1.1	1
YER079W		5	1.49	0.63
YFR037C	RSC8	6	1.82	0.65
YLL060C	GTT2	12	1.72	0.56
iOx474I		15	1.2	
iEx111I		5	0.4	2.3
iIx034I		0	0.51	1.9
YGL245W		7	1.76	0.52
iOx140I		0	1.19	0.75
YPL049C	DIG1	16	1.45	0.69
YLR209C		12	0.88	1.12
iOx206I		0	0.71	1.41
iDx488I		0	1.51	0.51
YMR100W	MUB1	13	0.83	1.46
iHx077I		0	0.8	1.09
iDx154I		0	1.19	0.85
YGR263C		7	1.42	0.71
iNx183I		0	1.66	0.64
iJx260I		0	0.62	1.17
YKL169C		11	0.41	3.18
YGL246C	RAI1	7	1.31	0.66
YBL031W	SHE1	2	0.98	1.07
YBR114W	RAD16	2	0.84	1.25
iNx249I		0	1.47	0.67
iJx326I		0	1.16	0.64
iPx432I		0	0.92	0.65
YPR066W	UBA3	16	1.27	0.85
YLR143W		12	0.59	1.99
YMR101C	SRT1	13	0.36	2.81
iCx197I		3	0.56	1.13
YGL180W	APG1	7	1.15	1.01
YBR115C	LYS2	2	0.6	
iOx475I		0	1.24	0.66
iIx035I		0	1.41	0.47
iEx112I		0	0.36	3
YLR144C	ACF2	12	0.62	1.85
iOx141I		0	1.75	0.45
YNL310C		14	1.65	0.55
iOx207I		15	0.55	1.65
iDx489I		0	1.66	0.54
iHx078I		0	0.45	1.61
iDx155I		0	1.7	0.45
YGR264C	MES1	7	1.44	0.68
iNx184I		0	1.52	0.61
iJx261I		0	0.75	1.06
YBL032W		2	1.49	0.72
iJx327I		0	1.88	0.47
YLL061W	MMP1	12	1.52	0.79
YFR038W		6	1.35	1.01
iPx433I		16	1.32	0.58
iLx510I		0	1.38	0.66
YPR067W	ISA2	16	0.65	1.3
YMR102C		13	0.76	1.58
iCx198I		3	0.66	1.67
YBR050C	REG2	2	1.16	0.64
YBL033C	RIB1	2	1.11	0.71
YGL181W	GTS1	7	1.75	0.46
YFR039C		6	1.13	1.24
YBR116C		2	1.54	
YLL062C		12	1.67	0.66
iOx476I		0	0.61	1.6
iIx036I		0	1.04	0.83
iEx113I		0	1.24	0.63
YPR068C	HOS1	16	0.76	1.18
YGL247W		7	0.93	0.89
iOx142I		0	1.73	0.52
YNL311C		14	1.53	0.62
iOx208I		0	0.62	1.56
iDx090I		0	1.26	0.59
YGL182C		7	2.03	0.55
iHx079I		0	0.73	1.19
iDx156I		0	0.9	1.28
iNx185I		0	0.85	0.82
iJx262I		0	0.9	0.78
iJx328I		0	0.23	4.58
iPx434I		0	1.38	0.55
iLx511I		0	1.15	0.6
YLR145W		12	1	
YMR103C		13	1.59	0.53
iCx199I		0	0.81	1.45
iPx100I		0	1.43	0.54
YBL034C	STU1	2	1.17	
YBR117C	TKL2	2	1.88	0.5
YLL063C	AYT1	12	1.36	0.97
iOx477I		0	1.58	0.54
iIx037I		0	0.71	1.85
iEx114I		0	0.88	0.85
YGR265W		7	1.96	0.47
YPR069C	SPE3	16	1.18	0.74
YLR146C	SPE4	12	1.5	
YDR300C	PRO1	4	1.32	0.91
YGL248W	PDE1	7	1.44	0.63
iKx220I		11	0.93	0.85
iOx143I		0	1.93	0.44
iOx209I		0	0.98	0.93
YML020W		13	0.94	1.05
iDx091I		0	0.95	0.68
YGL183C		7	1.69	0.44
iDx157I		0	0.54	2.47
YBR051W		2	1.01	0.74
iNx186I		0	0.46	2.15
iJx263I		0	1.34	0.79
YLR080W		12	0.62	1.52
iJx329I		0	1.59	0.58
YML021C	UNG1	13	1.14	
iPx435I		0	1.53	0.65
iLx512I		0	1.24	0.98
YMR104C	YPK2	13	1.8	0.57
iPx101I		0	0.67	1.61
YNL312W	RFA2	14	1.38	0.77
YBR052C		2	1.22	
